"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ABI.BR","Anheuser-Busch InBev SA/NV","Consumer Defensive","Beverages - Brewers","142165491712","215258300416","23.192427","17.187101","1.96","1.8711493","2.3321495","3.531","10.916","1.56","1.15","0.36360002","1.34","1778112000","60958998528","0.12","0.56172","0.26685","0.11897001","19719000064","","","75.033","11943999488","73333997568","","","","0.203","73.52","74.68","74.68","48.87","68.8732","60.42685","0.791","2108113","1711656296","970284646","0.8809523809523809"
"ACKB.BR","Ackermans & Van Haaren NV","Industrials","Engineering & Construction","9217850368","10869875712","15.5715065","14.391427","5.74","1.616472","1.546201","1.823","9.02","1.63","4.6","0.20989999","1.77","1779926400","5961611776","-0.073","0.4083","0.15258001","0.09939","1205133056","0.11017","0.02434","30.484","2195963904","2231378944","540637888","1005382016","0.764","0.231","282.0","284.8","300.2","208.2","278.76","251.964","0.757","36284","32687411","21625699","1.0"
"AED.BR","Aedifica NV/SA","Real Estate","REIT - Healthcare Facilities","5988950016","11808046080","6.2445607","13.028329","","0.89924675","15.305696","30.177","35.846","5.57","4.0","0.3394","4.53","1778716800","391288992","0.234","0.93301004","0.80175","1.56908","329408256","0.11067","0.02102","67.042","44999000","5026493952","","","0.11","4.811","71.75","71.9","80.05","59.5","70.542","69.32825","0.959","144169","83469689","83418772","0.9285714285714286"
"AGS.BR","ageas SA/NV","Financial Services","Insurance - Diversified","14447169536","-2840300544","7.59626","7.987415","6.16","1.3949496","1.5322059","-0.301","-2.247","6.52","4.5","0.385","7.67","1780444800","9429000192","0.195","0.29833","0.1114","0.18157","1264000000","0.18818001","0.0060900003","77.615","27000000512","8928000000","-1145374976","2897999872","7.271","1.085","69.05","69.75","69.75","55.85","67.172","61.81975","0.549","330660","209227654","178791304","1.0"
"ARGX.BR","argenx SE","Healthcare","Biotechnology","48842276864","44351311872","39.68671","26.036858","1.52","7.55819","10.298913","9.352","33.643","","","0.0","","","4742469120","0.626","0.58106","0.30008","0.31398","1318290304","","","0.644","4440038912","47160000","","","","1.14","785.4","784.4","813.6","456.6","718.776","702.779","-0.033","97578","62187771","61961105","0.7857142857142857"
"APAM.AS","Aperam S.A.","Basic Materials","Steel","3022434560","4094448640","101.902435","9.806292","0.74","0.9334227","0.50399107","0.683","23.667","4.79","2.0","4.878","6.22","1786579200","5997000192","-0.05","0.05336","0.02159","0.005","173000000","0.0091","0.0","39.779","237000000","1294000000","286624992","516000000","3.168","","41.78","42.78","53.85","24.32","47.6628","38.1588","1.812","169756","72341663","42814889","0.9761904761904762"
"AZE.BR","Azelis Group NV","Basic Materials","Specialty Chemicals","2326708224","3959711744","20.78261","11.309194","","0.86382943","0.56600165","0.963","9.803","2.36","0.23","0.5","","1782691200","4110779904","-0.056","0.23031001","0.06868","0.02705","403916992","0.04025","0.03647","68.999","263008992","1873814016","243326496","421665984","1.953","-0.676","9.56","9.685","15.02","6.88","10.3809","9.62445","0.51","494938","243379497","198105085","0.9523809523809523"
"DIE.BR","D'Ieteren Group SA","Consumer Cyclical","Auto & Truck Dealerships","8908183552","10864183296","21.497461","10.940085","6.81","622.79407","1.1088794","1.352","19.964","1.18","2.0","0.2033","1.4","1780963200","8033500160","0.034","0.25089002","0.054","0.05284","544200000","","0.041539997","7910.915","304800000","2246700032","325275008","551699968","1.273","-0.118","169.4","170.5","199.9","143.6","170.656","166.5625","0.904","70007","52586680","15236991","0.9761904761904762"
"ELI.BR","Elia Group SA/NV","Utilities","Utilities - Regulated Electric","15215267840","29639768064","25.299454","19.328146","2.82","1.9930229","3.425165","6.672","12.975","1.47","2.05","0.3525","1.76","1780012800","4442200064","0.146","0.59074","0.3684","0.13189","2284300032","0.09034","0.03577","198.675","4141799936","17771499520","-2746650112","2090400000","1.215","-0.235","139.4","138.5","143.1","92.35","136.028","120.7795","0.781","104111","109148266","44805363","1.0"
"GBLB.BR","Groupe Bruxelles Lambert SA","Financial Services","Asset Management","9506697216","14962225152","","33.52321","0.52","0.8295311","1.4708962","2.315","16.821","6.45","5.13","4.9505","4.18","1778716800","6463200256","0.062","0.70205003","0.10573","-0.101339996","889475008","","","57.73","4128699904","7719900160","","","","-0.315","79.45","78.95","85.65","71.3","80.239","78.495","0.673","103106","119656357","120432520","0.8571428571428571"
