"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"AEM.TO","Agnico Eagle Mines Limited","Basic Materials","Gold","109162905600","106359472128","14.467196","10.643339","28.26","2.9264243","8.062735","7.856","11.145","1.13","2.47","0.1554","2.31","1788220800","13539191808","0.661","0.73870003","0.62821996","0.39457","9542924288","0.22298001","0.15502","1.215","3122657024","319219008","4282917376","7118734848","3.148","1.086","218.31","223.07","348.94","157.68","246.8938","256.07144","0.566","961604","500036237","499356188","1.0"
"ATD.TO","Alimentation Couche-Tard Inc.","Consumer Cyclical","Specialty Retail","84028653568","89579159552","19.102297","17.69886","1.52","3.6582031","1.0983189","1.171","14.281","0.94","0.86","0.1753","0.84","1783555200","76506603520","-0.221","0.18899","0.09246001","0.04109","6272600064","0.20062","0.07067","75.868","3492900096","9043399680","2356349952","5363200000","1.124","","91.5","93.43","95.15","66.93","81.0982","77.00975","0.754","1351837","918346005","744099034","0.9761904761904762"
"BMO.TO","Bank of Montreal","Financial Services","Banks - Diversified","175195209728","52148207616","19.19647","15.357629","1.75","2.0851638","5.051328","1.504","","2.73","6.84","0.5069","4.15","1785369600","34682998784","0.158","0.0","0.42977002","0.28057","","0.11367","0.0066299997","","454605996032","329961996288","","3604000000","","0.412","250.13","248.66","250.5","149.6","222.44","193.8184","1.163","2483410","700416619","699604136","0.8809523809523809"
"BNS.TO","The Bank of Nova Scotia","Financial Services","Banks - Diversified","150746038272","-29076955136","16.95862","13.2869215","1.22","1.7305202","4.405718","-0.85","","3.71","4.56","0.6069","5.48","1783382400","34215999488","0.126","0.0","0.39803","0.27905","","0.11038999","0.00658","","531156008960","349912006656","","-33443000320","","0.354","122.95","122.44","124.79","74.1","111.206","100.67225","1.217","4105981","1226076000","1210983004","0.8809523809523809"
"ABX.TO","Barrick Mining Corporation","Basic Materials","Gold","87913922560","94942920704","10.129344","8.051872","2.04","2.2650306","4.6163583","4.985","8.09","1.86","0.98","0.2334","2.36","1780012800","19043999744","0.667","0.55109","0.56248003","0.32141","11736000512","0.25176","0.11991","12.852","7130999808","4726000128","5272124928","9031000064","3.064","2.542","52.47","52.9","74.0","27.89","56.357","56.6537","1.065","5047843","1675508360","1669543550","1.0"
"BCE.TO","BCE Inc.","Communication Services","Telecom Services","29505116160","74632118272","4.6735597","11.690504","0.22","1.4671922","1.1942489","3.021","8.62","5.53","1.75","0.2585","7.42","1781481600","24706000896","0.04","0.44957","0.21271","0.26075","8657999872","0.31489","0.04425","181.626","1376000000","42959998976","2681374976","6570999808","0.737","-0.029","31.64","32.53","36.25","29.72","33.2774","33.4129","0.591","4402585","932525817","931434762","1.0"
"BAM.TO","Brookfield Asset Management Ltd.","Financial Services","Asset Management","99815120896","105325117440","28.285067","20.20982","1.48","9.276183","19.67188","20.758","32.822","4.43","2.77","1.1635","","1780012800","5073999872","0.238","0.71048","0.64499","0.49685","3208999936","0.22388001","0.12001","26.373","1096000000","2963000064","2917750016","2324999936","1.126","0.056","62.51","63.21","88.12","58.09","65.7788","69.939","1.247","1912653","1596765155","324578779","0.9761904761904762"
"BN.TO","Brookfield Corporation","Financial Services","Asset Management","133680693248","509062709248","84.29578","","1.27","2.2053576","1.6897436","6.435","15.945","0.65","0.39","0.4902","0.86","1781481600","79113003008","0.079","0.32272997","0.28922","0.01689","31926999040","0.02503","0.02642","161.473","15029999616","267466997760","-2218749952","9489000448","0.892","1.588","59.85","60.86","68.44","52.04","62.5002","62.296665","1.84","2709870","2233510540","1732935193","0.9761904761904762"
"BIP-UN.TO","Brookfield Infrastructure Partners L.P.","Utilities","Utilities - Diversified","40849379328","119458463744","55.095745","25.497347","","3.606457","1.7014194","4.976","11.72","4.84","2.51","2.6439002","4.5","1780012800","24009000960","0.169","0.27040002","0.25186002","0.014040001","10193000448","0.0673","0.03317","201.437","2819000064","68960002048","-1557250048","5996000256","0.684","","51.79","51.89","55.29","40.925","52.0454","49.8214","1.031","485919","457606976","451328608","0.9523809523809523"
"CAE.TO","CAE Inc.","Industrials","Aerospace & Defense","11509337088","14272816128","37.28125","23.593552","1.82","2.1706696","2.3421526","2.905","15.587","","","0.0","1.4","1583971200","4913999872","0.04","0.28303","0.1365","0.06372","915699968","0.06227","0.0345","60.025","552400000","3234200064","389787488","791900032","0.959","-0.482","35.79","36.17","47.65","31.42","35.37","38.79965","1.04","967151","321579686","290233026","0.9523809523809523"
