"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"NESN.SW","Nestlé S.A.","Consumer Defensive","Packaged Foods","216838144000","268708544512","24.017096","17.872892","2.3","6.609173","2.4123952","2.989","16.137","3.68","3.1","0.8689","3.08","1776643200","89884999680","-0.022","0.45826","0.14885001","0.1005","16652000256","0.26534","0.06525","175.002","6230000128","57851998208","6238374912","15904000000","0.786","-0.24","84.3","83.29","85.06","69.9","78.9276","78.2249","0.497","3607989","2572220000","2570115591","1.0"
"ROP.SW","Roche Holding AG","Healthcare","Drug Manufacturers - General","269555253248","291344252928","21.13537","15.615392","1.47","7.974579","4.254613","4.599","12.117","2.89","9.8","0.6047","3.29","1773273600","63355998208","-0.004","0.7449","0.2999","0.2033","24043999232","0.37273997","0.12937","87.637","15486000128","33197000704","11027874816","18851999744","1.383","1.713","338.8","336.0","374.9","243.9","323.61","318.05","0.326","1002614","688926637","652939526","1.0"
"NOVN.SW","Novartis AG","Healthcare","Drug Manufacturers - General","240801185792","281322192896","22.336283","16.015106","4.19","7.8379173","4.256092","4.972","12.273","2.93","3.7","0.66260004","3.59","1773100800","56577998848","-0.007","0.75554","0.30479","0.23921","22922000384","0.34929","0.10541","120.734","6892000256","46997999616","12024750080","19175000064","0.848","-0.093","126.2","126.28","131.0","91.2","117.772","113.7944","0.488","2776285","1908091965","1812229425","1.0"
"CFR.SW","Compagnie Financière Richemont SA","Consumer Cyclical","Luxury Goods","111649857536","108071821312","35.10166","25.604559","2.63","5.0097575","4.9799223","4.82","20.166","1.74","3.3","0.5459","1.81","1789516800","22420000768","0.042","0.64389","0.19431","0.1554","5359000064","0.14961","0.069520004","55.981","17234999296","13514999808","2592000000","4880000000","3.098","-0.272","189.9","186.8","189.9","127.2","163.855","159.03876","1.063","1002264","534182089","534583645","1.0"
"ZURN.SW","Zurich Insurance Group AG","Financial Services","Insurance - Diversified","88516222976","67622154240","15.504971","13.782558","3.36","3.6537905","1.2111739","0.925","6.281","5.06","30.0","0.72029996","5.12","1775779200","73083002880","0.095","0.23815","0.14896","0.09302","10766999552","0.25221002","0.01716","58.818","36086001664","17742999552","1322749952","5903000064","5.094","0.338","592.6","589.0","606.8","521.0","560.904","565.214","0.329","303506","149369269","142026527","1.0"
"UBSG.SW","UBS Group AG","Financial Services","Banks - Diversified","131046645760","170221338624","17.690266","12.303279","0.9","1.7144028","2.5539677","3.317","","2.16","0.86","0.32259998","2.38","1776729600","51311001600","0.138","0.0","0.31471002","0.17764","","0.1016","0.00567","","528411983872","574302978048","","","","0.844","39.98","39.97","41.42","26.41","36.9258","33.8924","0.836","6309395","3277805164","3087390499","0.8571428571428571"
"ABBN.SW","ABB Ltd","Industrials","Electrical Equipment & Parts","155066220544","158924603392","39.555553","30.42806","3.21","12.976778","4.4853125","4.597","22.671","1.1","0.94","0.44169998","2.2","1774224000","34572001280","0.183","0.40374002","0.20586","0.14335","7009999872","0.3355","0.08927","59.719","5926000128","9176999936","475500000","5814000128","1.376","0.212","85.44","84.52","89.14","46.52","82.0412","67.0693","1.023","2500961","1814913558","1813947300","1.0"
"LONN.SW","Lonza Group AG","Healthcare","Diagnostics & Research","37687947264","41700945920","41.539646","24.730692","1.57","4.7627873","5.7706246","6.385","19.514","0.93","5.0","0.3077","0.67","1778544000","6530999808","","0.35966998","0.2139","-0.04211","2136999936","0.10476","0.04639","58.737","719000000","4679000064","-1798875008","1156000000","1.885","","539.6","534.6","594.8","454.6","494.608","521.9685","0.827","164832","69844229","69810005","0.9523809523809523"
"SIKA.SW","Sika AG","Basic Materials","Specialty Chemicals","26215772160","30960572416","25.13846","19.850767","2.62","3.9383934","2.3404222","2.764","15.923","2.26","3.7","0.5538","1.41","1774483200","11201300480","-0.079","0.54936004","0.107080005","0.0932","1944400000","0.15245","0.06099","83.131","807600000","5542099968","1172487552","1707900032","1.251","-0.465","163.4","167.6","221.0","120.35","149.958","153.9175","1.182","534972","160439241","160172912","1.0"
"ALC.SW","Alcon Inc.","Healthcare","Medical Instruments & Supplies","26599157760","30203158528","40.4","15.385197","1.55","1.4788418","2.5013313","2.84","13.058","0.51","0.28","0.2039","0.3","1777939200","10634000384","0.094","0.56141","0.12195","0.077020004","2312999936","0.037100002","0.02545","23.774","1659000064","5262000128","1225500032","2304999936","2.204","-0.446","54.54","55.2","74.34","47.8","53.8552","59.8528","0.698","1485058","487700000","486149114","1.0"
