"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"MAERSK-A.CO","A.P. Møller - Mærsk A/S","Industrials","Marine Shipping","223067406336","224375668736","21.691975","","0.37","0.6297401","4.1588345","4.183","43.075","3.12","480.0","0.6815","9.53","1774483200","53637001216","-0.026","0.17126","0.01565","0.03013","5208999936","0.03238","0.01396","31.709","18428000256","17508999168","2642249984","8033999872","1.976","-0.946","15400.0","15480.0","18320.0","11520.0","15323.6","14678.65","0.508","5064","9558037","7957796","0.9761904761904762"
"MAERSK-B.CO","A.P. Møller - Mærsk A/S","Industrials","Marine Shipping","230237437952","231581433856","22.358353","-38.6053","0.38","0.66445","4.2925115","4.318","44.458","3.02","480.0","0.6815","9.35","1774483200","53637001216","-0.026","0.17126","0.01565","0.03013","5208999936","0.03238","0.01396","31.709","18428000256","17508999168","2642249984","8033999872","1.976","-0.946","15895.0","15940.0","18865.0","11620.0","15619.1","14815.5","0.508","18045","4926696","7957796","1.0"
"AMBU-B.CO","Ambu A/S","Healthcare","Medical Devices","16180635648","16010869760","34.301678","19.963585","2.85","2.6472363","2.650825","2.623","19.742","0.67","0.41","0.2291","0.24","1764806400","6104000000","0.012","0.59977","0.10998","0.078150004","811000000","0.0794","0.054429997","9.031","691000000","551000000","281500000","847000000","2.92","-0.352","61.4","60.95","111.8","56.25","64.361","80.648","1.34","1093335","229208261","181047565","1.0"
"BAVA.CO","Bavarian Nordic A/S","Healthcare","Biotechnology","13710018560","11614844928","11.920529","16.867546","1.87","1.0943912","2.3021886","1.95","8.299","","","0.0","","","5955210752","-0.214","0.48115003","-0.00662","0.19707","1399496960","0.09681","0.034760002","1.098","2292296960","139283008","-505898240","2357165056","6.47","-0.926","180.0","179.0","244.8","165.8","186.622","197.85675","0.964","241979","76166771","76353485","0.9047619047619048"
"CARL-B.CO","Carlsberg A/S","Consumer Defensive","Beverages - Brewers","115571261440","179481264128","19.491753","12.341804","3.59","4.1566443","1.297169","2.014","10.271","3.32","29.0","0.6013","2.87","1773705600","89094995968","","0.45161","0.13182001","0.06684","17474000896","0.22771","0.05863","230.222","9585000448","70623002624","5606000128","12430999552","0.603","","874.4","870.0","1015.0","737.4","846.96","836.7795","0.641","233658","98472822","92351272","0.9523809523809523"
"COLO-B.CO","Coloplast A/S","Healthcare","Medical Instruments & Supplies","85098504192","108183986176","40.4716","14.366144","0.97","6.620148","3.0343556","3.858","12.701","6.09","23.0","2.4625","2.74","1779062400","28045000704","0.022","0.67459","0.25691998","0.07509","8518000128","0.14141","0.09899","188.648","1067000000","24227999744","4203375104","7594999808","1.748","","377.6","381.9","646.6","369.7","397.094","498.714","0.517","375256","207366796","144572845","0.9761904761904762"
"DANSKE.CO","Danske Bank A/S","Financial Services","Banks - Regional","279825022976","1201025843200","12.361558","10.821231","6.31","1.6809173","4.938321","21.196","","4.9","16.94","0.605","5.27","1777852800","56663998464","0.009","0.0","0.54247004","0.4053","","0.13637","0.0060799997","","629637971968","1549290045440","","-114713001984","","0.014","346.0","344.7","355.7","249.7","331.904","312.684","0.593","1128013","808742857","640938726","0.8809523809523809"
"DEMANT.CO","Demant A/S","Healthcare","Medical Devices","55803772928","75538767872","23.625","17.566223","1.53","5.6699595","2.429314","3.288","16.12","","","0.0","","956707200","22971000832","0.034","0.75621","0.18049","0.06726","4686000128","0.24199","0.06935","211.594","1330000000","20988000256","3279375104","3972999936","1.357","-0.634","264.6","266.0","284.4","175.0","236.812","217.845","0.741","427845","210898609","83771036","0.9285714285714286"
"DSV.CO","DSV A/S","Industrials","Integrated Freight & Logistics","369776492544","454474661888","51.02041","17.862228","0.99","3.0301075","1.3394448","1.646","19.077","0.45","7.0","0.23020001","0.47","1773964800","276066992128","0.689","0.27143","0.070989996","0.02507","23822999552","0.061539996","0.04868","77.163","10314000384","94455996416","21680250880","17204000768","0.915","-0.429","1550.0","1553.5","1913.5","1233.0","1578.3","1554.335","0.974","382653","238565473","196052633","1.0"
"GMAB.CO","Genmab A/S","Healthcare","Biotechnology","105504882688","109313835008","19.880842","16.24649","1.74","2.8215592","27.045599","28.022","82.191","","","0.0","","","3900999936","0.253","0.93309","0.25112","0.21045999","1330000000","0.14957","0.08484","94.175","1524999936","5351000064","830374976","902000000","2.184","-0.728","1718.5","1702.0","2257.0","1275.0","1680.2","1871.675","0.681","151682","61393589","60642769","0.9047619047619048"
