"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ACS.MC","ACS, Actividades de Construcción y Servicios, S.A.","Industrials","Engineering & Construction","33588729856","36407144448","33.14961","26.330328","1.08","6.637587","0.66629523","0.722","16.532","1.84","2.32","0.52830005","5.45","1782691200","50411180032","0.047","0.32057","0.04448","0.01967","2202269952","0.24611999","0.03349","257.434","10474999808","13626000384","440224384","3184761088","1.463","0.187","126.3","126.1","141.2","55.6","126.756","99.26175","0.652","412174","265944013","137625528","1.0"
"ACX.MC","Acerinox, S.A.","Basic Materials","Steel","3777324800","5104987648","","10.186518","0.4","1.7684135","0.6723669","0.909","15.297","4.09","0.62","2.2143","6.19","1784073600","5617951744","-0.108","0.34697","0.033239998","-0.00802","333735008","-0.025559999","0.01535","100.14","845000000","2139000064","170980256","390488992","1.805","-0.5","15.15","15.63","17.44","9.925","15.223","13.02085","1.091","898611","249328371","178042896","0.9761904761904762"
"AMS.MC","Amadeus IT Group, S.A.","Technology","Information Technology Services","22188838912","24539463680","16.970491","13.3636265","1.3","4.5507298","3.3786337","3.737","9.928","2.98","1.54","0.4656","1.73","1782864000","6567399936","0.031","0.44202","0.28224","0.20364","2471699968","0.25956","0.09652001","69.85","677200000","3355599872","1081912448","2202200064","0.765","0.051","51.76","52.14","73.6","46.21","51.645","57.4178","0.578","1020929","428687003","422307947","1.0"
"ANA.MC","Acciona, S.A.","Industrials","Engineering & Construction","14879882240","24152883200","18.521032","29.551882","1.32","3.1618812","0.6924096","1.124","12.712","2.07","5.65","0.35849997","3.03","1783382400","21489999872","-0.017","0.69632006","0.01826","0.03737","1900000000","0.17834","0.01976","214.845","5808999936","13502999552","-849000000","2148000000","1.188","-0.095","273.0","269.4","285.0","151.4","252.98","208.2185","0.861","102187","54505065","23867768","1.0"
"ANE.MC","Corporación Acciona Energías Renovables, S.A.","Utilities","Utilities - Renewable","7498354176","12508058624","11.56","34.079185","35.85","1.2860162","1.8266393","3.047","8.446","0.13","0.03","0.2201","","1781568000","4104999936","-0.183","0.59196","0.20117001","0.15956001","1480999936","0.11143","0.0396","82.824","465000000","5120999936","-875249984","383000000","1.268","-0.325","23.12","23.24","25.64","19.12","22.9796","22.323","0.529","241570","324323262","28591936","0.9761904761904762"
"BBVA.MC","Banco Bilbao Vizcaya Argentaria, S.A.","Financial Services","Banks - Diversified","119557881856","138708910080","11.840658","9.761378","2.14","2.2445579","3.6661825","4.253","","4.27","0.92","0.4011","4.99","1775606400","32611000320","0.119","0.0","0.54861","0.33124","","0.19042999","0.013710001","","160842006528","168716992512","","5050999808","","0.133","21.55","21.47","22.33","12.515","19.6587","19.018875","0.885","12100220","5547929414","5821341235","0.8809523809523809"
"BKT.MC","Bankinter, S.A.","Financial Services","Banks - Regional","13094003712","5606572032","12.243696","10.428521","10.15","2.1000288","4.734798","2.027","","5.27","0.77","0.5096","5.24","1782086400","2765483008","0.061","0.0","0.58442","0.40157002","","0.17694001","0.00853","","18238898176","10182617088","","","","0.069","14.57","14.6","15.225","10.915","14.2316","13.86815","0.059","1570417","898696272","666985412","0.8571428571428571"
"CABK.MC","CaixaBank, S.A.","Financial Services","Banks - Regional","85043830784","91801993216","15.08642","11.6049385","0.94","2.3030531","5.501962","5.939","","4.09","0.5","0.96769994","4.99","1775520000","15457000448","0.027","0.0","0.56735003","0.38772","","0.1602","0.009190001","","47705001984","54319001600","","","","0.086","12.22","12.31","12.745","7.232","11.3878","10.29091","0.132","8831246","6959396959","3502572735","0.8571428571428571"
"CLNX.MC","Cellnex Telecom, S.A.","Real Estate","Real Estate Services","17769525248","39589945344","","-167.25","","1.5064175","4.291889","9.562","15.459","2.77","0.74","0.165","0.24","1783900800","4140257024","-0.084","0.889","0.1626","-0.08424","2561042944","-0.02388","0.00805","175.475","2864999936","23182000128","","","0.91","","26.76","28.03","34.2","24.72","28.4708","27.98635","1.276","1532039","664033058","524253862","0.8809523809523809"
"COL.MC","Colonial SFL, Socimi S. A.","Real Estate","REIT - Office","3480209408","9478344704","10.160714","15.438045","","0.60027426","8.055407","21.939","28.785","5.62","0.32","0.5339","4.27","1783555200","432033984","0.07","0.99306","0.79807997","0.79959","329284736","","","74.802","150391008","5124952064","","","","0.039","5.69","5.73","6.145","4.836","5.5643","5.383865","1.242","1333300","611636097","267140062","0.8571428571428571"
