"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ADS.DE","adidas AG","Consumer Cyclical","Footwear & Accessories","32082419712","37163454464","23.432642","15.466628","0.97","5.2986145","1.2705908","1.472","15.049","1.55","2.8","0.2591","1.09","1778198400","25250000896","0.071","0.51362","0.1071","0.055209998","2469499904","0.22917","0.06625","93.747","873000000","5952000000","","","1.351","0.133","180.9","181.7","214.9","129.95","157.294","158.81775","1.202","667074","177348936","169042627","0.9523809523809523"
"ADYEN.AS","Adyen N.V.","Technology","Software - Infrastructure","26143918080","15568754688","24.694668","17.592129","1.14","4.946419","11.001657","6.552","13.007","","","0.0","","","2376361984","0.169","0.68093","0.49539003","0.44712","1196995968","0.22329001","0.059169997","4.775","10827529216","252366000","534254016","1030422016","1.722","0.119","829.0","824.9","1600.8","772.4","906.664","1149.8145","1.844","157458","31536692","28212409","0.9047619047619048"
"AD.AS","Koninklijke Ahold Delhaize N.V.","Consumer Defensive","Grocery Stores","31110862848","46664859648","14.019842","11.851529","2.96","2.1034772","0.340564","0.511","8.656","4.13","1.46","0.4683","3.44","1775779200","91350999040","-0.043","0.26613","0.040359996","0.02476","5391000064","0.14973","0.045939997","131.305","3865999872","19420000256","2654374912","6449999872","0.772","0.033","35.33","35.43","42.54","32.13","37.1064","36.91275","0.334","2322157","880579129","870945593","1.0"
"AI.PA","L'Air Liquide S.A.","Basic Materials","Specialty Chemicals","109827080192","120227299328","31.233273","24.443125","2.12","4.188776","4.076699","4.463","16.033","1.95","3.36","0.5428","1.83","1779062400","26940200960","-0.034","0.64175004","0.19473","0.13058","7498899968","0.13357","0.06305","50.657","3960800000","13650599936","1524087552","6518400000","1.173","0.053","172.72","172.86","189.8","154.86","174.97957","170.05128","0.644","961850","635867804","633408510","1.0"
"AIR.PA","Airbus SE","Industrials","Aerospace & Defense","150817161216","149699166208","30.265404","22.350344","1.68","5.780406","2.0794048","2.064","19.558","1.67","3.2","0.316","1.8","1776729600","72529002496","-0.066","0.15366","0.014780001","0.06913","7654000128","0.19748","0.024820002","55.655","15776000000","14570000384","-84125000","5888000000","1.14","-0.265","191.58","191.9","221.3","157.42","177.1416","189.49306","0.88","1376435","787228125","584154758","1.0"
"ALV.DE","Allianz SE","Financial Services","Insurance - Diversified","155052228608","131158228992","13.204134","12.363882","2.84","2.3528464","1.3425016","1.136","6.651","4.19","17.1","0.49740002","4.8","1778198400","115495002112","0.088","0.24341999","0.19285999","0.10426","19718750208","0.18706","0.0115","","27517999104","0","","","174.873","0.524","408.8","407.9","410.7","334.1","386.372","373.155","0.667","659073","379286270","379229377","0.9285714285714286"
"ABI.BR","Anheuser-Busch InBev SA/NV","Consumer Defensive","Beverages - Brewers","142165491712","215258300416","23.192427","17.187101","1.96","1.8711493","2.3321495","3.531","10.916","1.56","1.15","0.36360002","1.34","1778112000","60958998528","0.12","0.56172","0.26685","0.11897001","19719000064","","","75.033","11943999488","73333997568","","","","0.203","73.52","74.68","74.68","48.87","68.8732","60.42685","0.791","2108113","1711656296","970284646","0.8809523809523809"
"ARGX.BR","argenx SE","Healthcare","Biotechnology","48842276864","44351311872","39.68671","26.036858","1.52","7.55819","10.298913","9.352","33.643","","","0.0","","","4742469120","0.626","0.58106","0.30008","0.31398","1318290304","","","0.644","4440038912","47160000","","","","1.14","785.4","784.4","813.6","456.6","718.776","702.779","-0.033","97578","62187771","61961105","0.7857142857142857"
"ASML.AS","ASML Holding N.V.","Technology","Semiconductor Equipment & Materials","621293273088","615594131456","62.504845","37.78162","2.69","29.826443","18.439997","18.271","48.455","0.67","10.8","0.2568","0.86","1776988800","33692700672","0.132","0.52603","0.36020002","0.29713","12704400384","0.52236","0.15664","12.989","8376300032","2705600000","8243274752","10531500032","1.36","0.192","1612.0","1578.2","1711.4","587.8","1405.264","1129.753","1.396","735366","385417665","385268964","1.0"
"CS.PA","AXA SA","Financial Services","Insurance - Diversified","88264957952","86456606720","12.687134","9.736187","1.25","1.8906317","0.9321367","0.913","7.222","5.35","2.32","0.6287","5.76","1778457600","94691000320","0.032","0.14503999","0.10537","0.10346","11971999744","0.13415","0.0101","113.518","69054996480","60343001088","10821374976","22670000128","1.928","0.598","43.39","43.41","43.84","36.55","40.8514","39.7349","0.605","3915067","2034223504","1539741099","1.0"
