"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ELISA.HE","Elisa Oyj","Communication Services","Telecom Services","5954102784","7388148736","17.327103","14.348624","5.07","4.433816","2.6466208","3.284","10.32","6.47","2.4","0.8271","4.39","1784246400","2249700096","-0.013","0.44544","0.22611","0.15264","715900032","0.25175","0.08590999","115.748","134200000","1561900032","352312512","698499968","1.497","0.017","37.08","37.32","55.0","34.48","40.2776","40.5972","0.421","267921","160574503","107313986","1.0"
"FORTUM.HE","Fortum Oyj","Utilities","Utilities - Renewable","17927344128","19494344704","21.71739","21.345924","13.9","2.1879106","3.3578095","3.651","15.183","3.7","0.74","0.8043","6.75","1775001600","5338999808","0.213","0.40438","0.26104","0.15415","1284000000","0.09157","0.03642","48.465","2523000064","4009999872","1305374976","742000000","2.078","0.16","19.98","19.57","22.92","14.4","20.7028","19.3338","0.096","883746","897264465","412669873","1.0"
"HIAB.HE","Hiab Oyj","Industrials","Farm & Heavy Construction Machinery","3532920832","3310070272","26.298079","14.52562","1.67","3.6398723","2.312575","2.167","16.354","2.14","1.17","0.5625","2.95","1774396800","1527699968","-0.07","0.29279","0.10499","0.091709994","202400000","0.13576001","0.05409","27.145","482300000","263200000","301387488","154600000","1.829","-0.445","54.7","54.85","61.65","39.78","52.5304","49.2526","1.24","80399","55061129","44407544","1.0"
"HUH1V.HE","Huhtamäki Oyj","Consumer Cyclical","Packaging & Containers","2746438144","4026238208","14.863636","9.853219","1.63","1.42538","0.70324117","1.031","8.464","4.36","1.14","0.625","3.02","1790726400","3905400064","-0.055","0.17355","0.08798","0.04709","475700000","0.09283","0.03971","73.648","283200000","1480099968","232975008","506300000","1.719","-0.136","26.16","26.38","32.34","26.0","27.1288","28.8518","0.407","248193","104986170","95894368","1.0"
"KALMAR.HE","Kalmar Oyj","Industrials","Farm & Heavy Construction Machinery","2408709888","2386419968","14.389314","12.067862","","3.5053463","1.3663338","1.354","9.122","2.92","1.1","0.41979998","","1775001600","1762899968","0.054","0.25895","0.12059","0.09558","261600000","0.25851","0.07735","41.643","321100000","287500000","110875000","190700000","1.606","0.151","37.7","37.86","51.15","33.16","42.4508","41.05145","","53101","54365419","48484488","0.9285714285714286"
"KEMIRA.HE","Kemira Oyj","Basic Materials","Chemicals","2385935104","2959478272","15.119266","10.822169","4.02","1.5368834","0.87627995","1.087","6.821","4.61","0.76","0.6881","3.92","1791158400","2722800128","-0.044","0.17198999","0.09759","0.06071","433900000","0.107209995","0.052259997","47.862","263000000","767900032","142612496","414900000","1.367","-0.245","16.48","16.81","21.46","15.29","17.6722","19.0284","0.419","244920","144777620","88872006","1.0"
"KESKOB.HE","Kesko Oyj","Consumer Defensive","Grocery Stores","7787591168","11526182912","18.980583","15.019975","6.27","3.0977657","0.6143572","0.909","13.498","4.6","0.9","1.0971","4.75","1784073600","12675999744","0.071","0.14494","0.031889997","0.03212","853900032","0.16302","0.04358","152.56","169300000","3879300096","364837504","981900032","0.868","0.074","19.55","19.86","22.2","17.8","20.4876","19.58085","0.799","437675","271394260","351646618","1.0"
"KOJAMO.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"KNEBV.HE","KONE Oyj","Industrials","Specialty Industrial Machinery","25665406976","25355747328","26.20106","19.88731","2.1","12.206063","2.27506","2.248","16.45","3.63","1.8","0.95239997","3.51","1772755200","11281200128","0.013","0.57625","0.104490004","0.086840004","1541400064","0.46552","0.09797","41.717","1232000000","890700032","960374976","1292800000","0.953","0.0","49.52","49.96","70.0","47.94","51.8302","57.11295","0.798","632199","442074920","367031000","1.0"
"KCR.HE","Konecranes Plc","Industrials","Farm & Heavy Construction Machinery","6311792640","6128193024","16.09697","13.21393","1.45","3.2354734","1.534969","1.49","9.813","8.47","2.25","1.3664","3.84","1774569600","4112000000","-0.077","0.5795","0.11686","0.095699996","624499968","0.21146","0.07466","20.956","592400000","408800000","529787488","548400000","1.328","-0.095","26.56","26.74","34.566666","22.033333","27.84","28.858099","1.28","339649","237642807","187880403","1.0"
