"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"III.L","3i Group Ord","Financial Services","Asset Management","25163220992","26032523264","4.630798","4.0347285","","0.8225679","4.507922","4.664","4.776","3.34","0.85","0.1467","2.6","1781740800","5582000128","-0.334","1.0","0.97190005","0.94841003","5450999808","0.19077998","0.11662","4.083","635000000","1260999936","3390374912","998000000","6.56","-0.35","2496.0","2532.0","4497.0","0.0","2379.98","3144.2075","1.134","3121566","1008141803","991546577","0.9761904761904762"
"ABDN.L","Aberdeen Group Plc","Financial Services","Asset Management","4200915200","3332912384","11.180953","15.535265","1.18","0.85288775","3.1326737","2.485","12.625","6.22","0.15","0.6887","7.97","1773878400","1340999936","0.016","0.94929004","0.13158","0.28934","264000000","0.07823","0.01105","13.863","1583000064","712000000","-1488125056","427000000","6.351","0.976","234.8","236.0","252.2","0.0","229.442","210.89175","1.39","5428723","1789146261","1749783774","1.0"
"ADM.L","Admiral Group plc","Financial Services","Insurance - Property & Casualty","10569175040","10955979776","14.491803","13.697568","2.01","7.475687","2.1052456","2.182","10.377","4.5","1.59","0.73050004","4.17","1778112000","5020400128","-0.041","0.41483003","0.2082","0.14792","1055800000","0.52965","0.076630004","131.165","1727000064","1893500032","983237504","436500000","0.544","-0.205","3536.0","3524.0","3686.0","0.0","3362.18","3178.94","0.184","835729","298902015","265256389","1.0"
"AAF.L","Airtel Africa Plc","Communication Services","Telecom Services","12212324352","18132563968","23.957142","13.668432","","5.132708","1.8957349","2.815","6.711","1.59","0.05","0.3666","3.1","1781740800","6441999872","0.325","0.66858","0.33619","0.105399996","2702000128","0.25962","0.101739995","183.83","855000000","6412000256","1216625024","3195000064","0.582","2.581","335.4","334.2","436.2","0.0","351.932","326.511","0.473","5790168","3641122456","758502877","0.9761904761904762"
"ALW.L","Alliance Witan Ord","","","4982116352","","18.647303","","","0.99985045","","","","","","","","","","","","","","","","","","","","","","","","1337.0","1336.0","1368.57","0.0","1307.2073","1276.5939","","730659","372633982","","0.2857142857142857"
"AAL.L","Anglo American plc","Basic Materials","Other Industrial Metals & Mining","38862864384","54364868608","","20.042955","1.4","2.8538625","2.095485","2.931","9.099","0.47","0.17","5.6102004","4.15","1773273600","18545999872","0.175","0.63076","0.2206","-0.20171","5975000064","-0.02674","0.04109","65.506","6438000128","15797999616","-591625024","5511000064","2.648","","3627.0","3718.0","4239.0","0.0","3830.41","3292.5874","0.979","4785154","1071487947","950913408","0.9523809523809523"
"ANTO.L","Antofagasta plc","Basic Materials","Copper","36940050432","43749851136","36.735294","24.670965","0.92","4.700688","4.285239","5.075","8.875","1.25","0.48","0.2982","3.33","1776297600","8620300288","0.318","0.49925","0.43218","0.15416001","4929800192","0.15127","0.08524","53.078","4909899776","7659400192","32187500","3071600128","2.901","0.417","3747.0","3825.0","4475.0","0.0","3907.53","3410.26","1.41","1492921","985856695","339765651","1.0"
"ABF.L","Associated British Foods plc","Consumer Defensive","Packaged Foods","13919541248","13592899584","14.843283","11.944654","2.16","1.2322656","0.7167632","0.7","6.167","3.18","0.63","0.4727","2.23","1779926400","19420000256","0.011","0.074250005","0.083050005","0.04892","2204000000","0.08452","0.049239997","8.369","1392000000","778000000","737124992","2256999936","1.507","-0.063","1989.0","1978.5","2359.0","0.0","1856.8452","1980.5349","0.808","1086797","699826113","257169100","1.0"
"AZN.L","AstraZeneca PLC","Healthcare","Drug Manufacturers - General","221742284800","247881023488","28.425446","16.235876","1.41","6.1703615","3.668861","4.101","12.378","1.65","2.36","0.477","2.09","1771459200","60438999040","0.125","0.81504995","0.27943","0.17188999","20025999360","0.23482999","0.08487","71.815","7674999808","34029000704","6558875136","14220999680","0.909","0.053","14298.0","14318.0","15732.0","0.0","13731.996","13739.349","0.214","2164683","1550862203","1541208530","1.0"
"AUTO.L","Autotrader Group plc","Communication Services","Internet Content & Information","3900353792","4194732800","14.517647","11.207231","","9.971717","6.247563","6.719","10.362","2.36","0.12","0.3199","0.99","1787788800","624300032","0.027","0.79129","0.62166","0.47077","404800000","0.60195","0.36663","51.83","18200000","211000000","243724992","322800000","1.733","0.051","493.6","490.5","844.4","0.0","481.742","572.2465","0.671","7433132","790185080","803572851","0.9761904761904762"
