"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"0005.HK","HSBC Holdings plc","Financial Services","Banks - Diversified","2517357035520","2144489439232","15.468915","10.274832","0.92","1.8403033","39.473095","33.626","","3.97","5.86","0.6191","5.04","1778716800","63773999104","0.033","0.0","0.50684","0.34977","","0.11611","0.00722","","1162820976640","773452988416","","","","0.026","146.8","147.6","150.5","94.3","143.058","126.6785","0.579","15520475","17148209505","16975367640","0.8571428571428571"
"0388.HK","Hong Kong Exchanges and Clearing Limited","Financial Services","Financial Data & Stock Exchanges","456820817920","157601267712","24.320324","23.123724","1.74","8.291843","15.1511","5.227","6.835","3.55","13.04","0.84139997","2.61","1773187200","30151000064","0.19","0.96533996","0.77203006","0.62568","23057750016","0.34995997","0.02987","2.186","308608991232","1219000064","","","1.048","0.27","361.4","367.0","466.0","360.0","401.624","414.06","0.92","4705858","1264031072","1186900516","0.9523809523809523"
"0939.HK","China Construction Bank Corporation","Financial Services","Banks - Diversified","2090186964992","2955832197120","5.3266664","5.03036","0.98","0.510796","3.401582","4.81","","5.27","0.43","0.30290002","7.89","1782950400","614474973184","0.05","0.0","0.68353","0.55632","","0.09548","0.00763","","5293374177280","6010644201472","","-693275983872","","0.0","7.99","8.24","9.07","7.18","8.7294","8.1005","0.235","257337268","240417319880","102976374158","0.8809523809523809"
"1299.HK","AIA Group Limited","Financial Services","Insurance - Life","732182020096","767754960896","15.345572","10.500627","1.01","2.1926286","27.929888","29.287","76.983","2.67","1.93","0.3893","2.2","1779926400","26215000064","0.06","0.43895","0.31429002","0.2378","9973000192","0.14847","0.01871","47.195","8771999744","20580999168","5073375232","6969999872","1.961","0.094","71.05","72.2","92.15","67.5","80.848","81.0105","0.636","36480143","10305165606","10460114867","1.0"
"1398.HK","Industrial and Commercial Bank of China Limited","Financial Services","Banks - Diversified","2266743963648","3731030540288","5.435898","5.093987","1.04","0.49846536","3.366173","5.541","","5.29","0.35","0.3034","7.51","1777852800","673389019136","0.034","0.0","0.65656","0.55146","","0.08889","0.0069700005","","4014556053504","5242882097152","","-73994002432","","0.043","6.36","6.62","7.32","5.56","6.9346","6.45885","0.14","204722478","86794044550","209680929171","0.8809523809523809"
"2318.HK","Ping An Insurance (Group) Company of China, Ltd.","Financial Services","Insurance - Life","921678970880","-223006375936","6.088517","4.664306","0.4","0.7846279","0.96722966","-0.234","-0.99","5.88","3.05","0.3547","5.71","1780358400","952906022912","-0.033","0.36084998","0.48956","0.13935","225322254336","0.11279","0.00979","140.542","3594554966016","2015781978112","527688990720","546475016192","3.675","-0.132","50.9","51.9","74.7","48.7","59.577","61.54175","0.639","38022083","7447576912","15137264402","1.0"
"2388.HK","BOC Hong Kong (Holdings) Limited","Financial Services","Banks - Regional","443845312512","-73288777728","11.076517","10.032742","2.42","1.2379829","6.4579988","-1.066","","8.13","3.54","0.6032","5.59","1782691200","68727996416","-0.027","0.0","0.69141","0.58376","","0.116730005","0.00949","","689727012864","150518005760","","-304603004928","","-0.012","41.98","43.6","49.36","33.5","46.4108","41.4779","0.227","12837411","10572780266","3588084439","0.8809523809523809"
"2628.HK","China Life Insurance Company Limited","Financial Services","Insurance - Life","751275802624","-1105398595584","4.497462","5.08777","0.38","1.0876744","2.196154","-3.231","-6.129","3.51","0.97","0.1345","4.9","1782777600","342087008256","-0.152","0.56923","0.38050997","0.42323002","180360249344","0.25482","0.01502","45.078","2176234946560","275873005568","73387622400","442825998336","6.329","-0.324","26.58","26.929","36.16","17.98","28.7772","28.1083","0.874","52510602","7441175000","8941256780","1.0"
"3968.HK","China Merchants Bank Co., Ltd.","Financial Services","Banks - Regional","1099080925184","32951654400","6.61305","6.037806","1.17","0.84149665","3.678193","0.11","","9.92","4.46","0.5249","4.76","1782950400","298810015744","0.017","0.0","0.61954","0.50449","","0.11921","0.01166","","1800973058048","691305971712","","482280013824","","0.007","43.58","44.98","56.3","43.56","47.734","49.06155","0.54","15191508","4590901172","15365947528","0.8809523809523809"
"3988.HK","Bank of China Limited","Financial Services","Banks - Diversified","1604617764864","7021994180608","5.8588233","5.5219707","1.15","0.50896907","2.8301435","12.385","","4.97","0.25","0.31370002","7.98","1782950400","566974021632","0.059","0.0","0.53109","0.43263","","0.083739996","0.0068900003","","3021568999424","8159159123968","","-543587008512","","0.0","4.98","5.09","5.61","4.11","5.2246","4.7262","0.107","233001568","83622276395","105595451600","0.8809523809523809"
"0002.HK","CLP Holdings Limited","Utilities","Utilities - Regulated Electric","186325745664","249468026880","17.81401","14.874919","5.59","1.7315053","2.116905","2.834","10.824","4.33","3.2","0.76089996","4.71","1780358400","88018001920","-0.037","0.33535","0.14779","0.121190004","23047000064","0.10148","0.03655","53.707","6370999808","63065001984","2928375040","24377999360","0.595","-0.164","73.75","73.95","77.75","64.0","74.903","71.6655","0.556","3062375","2526450570","1812324052","1.0"
"0003.HK","The Hong Kong and China Gas Company Limited","Utilities","Utilities - Regulated Gas","122222157824","190105534464","21.833334","19.576782","2.83","2.0591009","2.2497787","3.499","16.161","5.22","0.35","1.1589","4.88","1780444800","54326300672","-0.042","0.38651","0.13036","0.1047","11763500032","0.09612001","0.03159","85.53","8012899840","61059100672","2587324928","10533000192","0.628","0.021","6.55","6.7","7.76","6.54","7.0936","7.2091","0.555","23901727","18659870098","10849968067","1.0"
