"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ACES.JK","PT Aspirasi Hidup Indonesia Tbk","Consumer Cyclical","Specialty Retail","5512765636608","4138129162240","8.001987","5.6048737","2.97","0.82647175","0.6225377","0.467","3.903","9.64","32.01","0.84169996","4.63","1782086400","8855312400384","0.101","0.43748","0.08574","0.077989995","1060189569024","0.10256","0.06612","15.234","2651291910144","1029924913152","1635258597376","2166702342144","7.078","0.155","322.0","332.0","515.0","310.0","359.4","398.18","0.124","38195986","17120389700","6846443841","1.0"
"ADMR.JK","PT Alamtri Minerals Indonesia Tbk","Basic Materials","Coking Coal","54782324637696","55804958867456","10.476935","7.7852664","","33500.0","52649.9","53632.727","133061.58","3.71","50.62","0.41459998","","1777334400","1040502016","0.338","0.42079","0.41426","0.28205","419392000","0.16939","0.08270001","53.254","539033024","960824000","-317750976","208083008","2.002","0.341","1340.0","1365.0","2320.0","920.0","1643.8","1615.15","0.159","50246206","40882331500","6125808552","0.9523809523809523"
"ADRO.JK","PT Alamtri Resources Indonesia Tbk","Energy","Thermal Coal","65089113686016","65664727384064","7.315336","4.3767915","0.85","13294.117","33161.12","33454.38","80762.164","10.37","236.52","1.1035","12.93","1777334400","1962813952","0.234","0.35911","0.31133","0.2543","813062976","0.10256","0.05422","19.536","1987622016","1059564992","-21144876","708364992","4.321","0.748","2260.0","2280.0","2700.0","1625.0","2374.8","2131.625","-0.285","69880356","28800494200","10597141841","1.0"
"AKRA.JK","PT AKR Corporindo Tbk","Energy","Oil & Gas Refining & Marketing","24155718156288","26162164137984","9.396903","8.645738","0.4","1.8836404","0.49597514","0.537","7.118","8.06","100.0","0.7701","5.96","1778112000","48703486296064","0.262","0.08759","0.06335","0.05264","3675315765248","0.18943001","0.05751","34.16","7283188170752","5529788743680","3903885148160","5483185831936","1.454","0.161","1220.0","1240.0","1595.0","1065.0","1370.0","1284.325","-0.422","24708812","19799769600","6347212141","1.0"
"AMMN.JK","PT Amman Mineral Internasional Tbk","Basic Materials","Other Precious Metals & Mining","224478478991360","238966745858048","21.253256","9.358668","","40789.477","84635.12","90097.63","162879.53","","","0.0","","","2652308992","379.373","0.49153","0.38917","0.20658001","1467138048","0.10484","0.052849997","116.552","814571008","6505062912","-1094615168","715000","2.622","","3100.0","3300.0","9100.0","2710.0","4004.2","6072.85","-0.31","114818605","72412413856","14749684578","0.8571428571428571"
"AMRT.JK","PT Sumber Alfaria Trijaya Tbk","Consumer Defensive","Grocery Stores","57117650190336","56264360984576","16.39731","11.631799","6.28","3.090386","0.44206953","0.435","8.362","2.92","41.5","0.4022","1.13","1781481600","129205123678208","0.075","0.21871","0.04064","0.02718","6728252915712","0.19111","0.063829996","13.591","6214194823168","2705235116032","3515463499776","7311849947136","1.077","0.112","1390.0","1420.0","2490.0","1105.0","1389.4","1721.7","-0.22","103476131","41091832700","18550907872","1.0"
"ANTM.JK","PT Antam (Persero) Tbk","Basic Materials","Gold","62960605069312","64447267733504","7.420835","18.48846","0.0","1.6207325","0.7169762","0.734","5.979","7.72","209.99","0.42990002","3.24","1782086400","87814079250432","0.121","0.18955","0.15276","0.09661999","10778614693888","0.24687","0.108459994","21.609","11206818529280","8731396931584","-4749535477760","-382962991104","1.977","0.599","2620.0","2720.0","4970.0","2450.0","3300.4","3469.0","0.717","165458418","24030764724","8414372268","1.0"
"ARTO.JK","PT Bank Jago Tbk","Financial Services","Banks - Regional","12475198078976","12831679315968","42.313118","32.991203","0.67","1.398884","5.7349563","5.899","","","","0.0","","","2175290966016","0.266","0.0","0.18792","0.13871","","0.03447","0.00838","","2926074920960","3213250002944","","-2351304015872","","0.408","900.0","905.0","2440.0","740.0","1142.7","1676.9","0.706","5269658","13861330900","3849846044","0.7857142857142857"
"ASII.JK","PT Astra International Tbk","Industrials","Conglomerates","181489077583872","315197583523840","5.769525","5.8995132","0.77","0.7797095","0.5694686","0.989","5.511","8.28","390.0","0.5172","7.17","1777939200","318698988503040","-0.056","0.19352","0.0857","0.099429995","57191998423040","0.13245","0.04541","39.859","50695998799872","116834997108736","15747374907392","37586999443456","1.214","-0.146","4530.0","4710.0","7475.0","4350.0","5438.4","6121.725","-0.021","61844425","40063816240","17798751003","1.0"
"BBCA.JK","PT Bank Central Asia Tbk","Financial Services","Banks - Regional","697322635788288","618514817744896","12.047809","11.762145","2.0","2.6909904","6.41929","5.694","","6.01","356.0","0.71339995","2.62","1781654400","108629243985920","0.025","0.0","0.67586","0.53462005","","0.22972","0.03661","","112486367887360","2733053050880","","-5334070984704","","0.037","5675.0","5925.0","8975.0","4820.0","5992.5","7252.75","-0.001","260127525","122876240600","48241212060","0.8809523809523809"
