"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ADANIENT.NS","Adani Enterprises Limited","Energy","Thermal Coal","4101282463744","4880228417536","40.687355","45.058033","","4.775003","4.0821533","4.857","36.397","0.04","1.3","0.0171","0.65","1781222400","1004686082048","0.203","0.46144","0.0553","0.09295999","134081601536","0.13664","0.02181","119.56","98084003840","1066217897984","-315140669440","23569100800","1.035","","2989.3","2962.5","3105.0","1753.0","2743.686","2356.7295","0.824","2618339","1301693464","423715442","0.9523809523809523"
"ADANIPORTS.NS","Adani Ports and Special Economic Zone Limited","Industrials","Marine Shipping","4135836712960","4683431673856","30.811878","23.16665","","4.3100157","10.676454","12.091","20.868","0.42","7.5","0.12020001","0.57","1781222400","387357704192","0.265","0.64403","0.41182","0.33060002","224436092928","0.15592","0.06764","64.051","72847302656","633989890048","-31920062464","203562500096","1.394","0.036","1795.0","1776.1","1857.8","1290.5","1760.986","1532.352","0.515","3067101","2303959098","872601469","0.9761904761904762"
"APOLLOHOSP.NS","Apollo Hospitals Enterprise Limited","Healthcare","Medical Care Facilities","1249776238592","1312725663744","64.37565","40.70282","","13.180282","4.953827","5.203","34.827","0.23","20.0","0.1481","0.23","1786579200","252284993536","0.181","0.36279","0.11908","0.07696","37693001728","0.21503","0.08439","85.146","21333000192","84929003520","3955500032","28557000704","1.065","0.356","8692.0","8655.0","8734.0","6696.5","8143.99","7598.8374","0.18","424611","143784657","100644626","0.9761904761904762"
"ASIANPAINT.NS","Asian Paints Limited","Basic Materials","Specialty Chemicals","2555266465792","2508199297024","59.010406","45.500744","","11.963268","7.1810346","7.049","39.817","1.04","27.5","0.5553","0.87","1782172800","355835412480","0.106","0.43303","0.16143","0.121549994","62993899520","0.20889999","0.10560001","17.847","86016401408","39289298944","43408711680","70881796096","2.209","0.692","2665.5","2656.9","2985.7","2115.0","2614.032","2553.927","0.303","1413381","958644295","443168563","0.9761904761904762"
"AXISBANK.NS","Axis Bank Limited","Financial Services","Banks - Regional","4246346924032","6542033682432","16.149296","11.415497","0.54","1.9731469","5.696061","8.776","","0.07","1.0","0.0117999995","1.03","1783555200","745488318464","-0.11","0.0","0.39288","0.35393003","","0.13152","0.01474","","946491883520","3263375343616","","-1715072532480","","0.064","1365.1","1356.8","1418.3","1042.5","1305.272","1276.5544","0.428","7527196","3110649073","2808731286","0.8809523809523809"
"BAJAJ-AUTO.NS","Bajaj Auto Limited","Consumer Cyclical","Auto Manufacturers","2675981942784","2824067088384","24.93754","20.5987","1.31","6.89676","4.205706","4.438","18.815","1.56","150.0","0.5463","2.47","1780012800","636274081792","0.37","0.33151","0.19327","0.16886","150099394560","0.28046","0.13737","56.352","108031000576","226649604096","-6439587328","25966000128","1.761","1.031","9582.0","9630.0","10834.0","7858.5","10161.11","9467.57","0.681","412918","279271733","112235152","1.0"
"BAJFINANCE.NS","Bajaj Finance Limited","Financial Services","Credit Services","6157252427776","9620017905664","32.424686","20.030317","","5.4002247","14.046564","21.946","","0.55","5.4","0.1442","0.24","1782777600","438345793536","0.268","0.91655","0.60647","0.43383998","","0.17907","0.03768","313.407","181471805440","3666413092864","","-657898012672","7.201","0.214","990.25","982.05","1102.5","787.9","929.246","964.4395","0.364","9798537","6217876336","2643260378","0.9047619047619048"
"BAJAJFINSV.NS","Bajaj Finserv Ltd.","Financial Services","Financial Conglomerates","2840069668864","6877094608896","29.097607","19.30488","","3.6408682","1.9030967","4.608","12.114","0.07","1.3","0.0164","0.14","1782777600","1492341227520","0.053","0.51749","0.37205002","0.06568","567693213696","0.14602","0.04916","256.36","176180396032","3613785063424","-157757177856","-553014132736","2.651","0.057","1776.7","1759.3","2195.0","1597.0","1763.794","1924.495","0.34","1171536","1598508313","554914942","0.9761904761904762"
"BEL.NS","Bharat Electronics Limited","Industrials","Aerospace & Defense","3010897903616","2923836211200","49.806526","36.259758","","12.551421","10.905056","10.59","36.324","1.06","4.35","0.3438","1.23","1772755200","276101103616","0.117","0.49174","0.2747","0.21956","80493297664","0.27556","0.10972","0.273","85720301568","654600000","-3909087488","15413699584","1.976","0.045","411.9","411.6","473.45","361.2","422.713","420.94675","0.237","13788751","7309778829","3498250986","0.9761904761904762"
"BHARTIARTL.NS","Bharti Airtel Limited","Communication Services","Telecom Services","11610142801920","12745572352000","41.895546","22.534246","","7.2988977","5.5031466","6.041","10.65","0.87","16.0","0.36060002","0.8","1752796800","2109727965184","0.157","0.67652","0.32227","0.12652999","1196745031680","0.19358999","0.07848","99.718","440774000640","1954117058560","609508392960","1222295945216","0.517","-0.34","1861.0","1841.1","2174.5","1740.5","1846.076","1952.2736","0.016","9584196","6237547426","3056373129","0.9761904761904762"
"CIPLA.NS","Cipla Limited","Healthcare","Drug Manufacturers - Specialty & Generic","1175253417984","1081336135680","30.31465","22.933416","","3.4129968","4.223301","3.886","18.635","0.89","13.0","0.2708","0.48","1780617600","278278406144","-0.021","0.64747","0.11262","0.13939999","58027900928","0.11736","0.07575","1.778","100281196544","6137699840","11400399872","39400198144","3.443","-0.546","1454.8","1454.1","1673.0","1165.7","1371.282","1408.685","0.118","2057319","807845316","563404152","0.9761904761904762"
"COALINDIA.NS","Coal India Limited","Energy","Thermal Coal","2717146939392","2333355278336","8.739346","7.673976","0.87","2.2811465","1.6135049","1.386","5.658","4.95","22.0","0.5232","8.12","1771372800","1684002963456","0.162","0.75926","0.20922","0.18465","412419915776","0.28124002","0.07123","11.629","567618371584","140721799168","72375926784","432145989632","1.856","0.129","440.9","444.85","491.25","368.65","459.02","423.8195","-0.044","15164844","6162728327","2651193180","1.0"
"DRREDDY.NS","Dr. Reddy's Laboratories Limited","Healthcare","Drug Manufacturers - Specialty & Generic","1128322301952","1138454560768","26.336248","21.017975","1.71","2.9923325","3.3587718","3.389","16.705","0.58","8.0","0.15560001","0.63","1783555200","335933014016","-0.116","0.52768004","0.015420001","0.12755999","68148998144","0.11835","0.05741","20.328","87813996544","77340999680","1627500032","56754999296","1.802","-0.862","1355.0","1375.7","1414.9","1148.4","1299.886","1263.422","0.264","2532548","832710225","599679362","1.0"
"EICHERMOT.NS","Eicher Motors Limited","Consumer Cyclical","Auto Manufacturers","1933011582976","1981023518720","35.122196","26.524858","","7.6959224","8.258065","8.463","34.244","0.94","70.0","0.3487","0.45","1754006400","234075602944","0.191","0.44173","0.21086","0.23562","57850699776","0.23774","0.10416","2.048","61139701760","5139500032","31517612032","48048398336","1.902","0.115","7042.0","7426.0","8230.0","5353.0","7240.98","7185.2627","0.272","601602","274497530","134145668","0.9761904761904762"
"ETERNAL.NS","Eternal Limited","Consumer Cyclical","Internet Retail","2390871506944","2355267895296","666.79486","63.668766","","7.6871915","4.397895","4.332","194.973","","","0.0","","","543639994368","1.965","0.38005","0.00104","0.0067299996","12080000000","0.01194","-0.00637","14.826","66140000256","45920002048","-28681250816","6320000000","2.768","3.75","260.05","259.4","368.45","212.6","251.1814","275.72665","0.261","36383253","9193892179","6672167368","0.8809523809523809"
"GRASIM.NS","Grasim Industries Limited","Basic Materials","Building Materials","2103217356800","4791927308288","42.483562","21.120636","","2.0325346","1.1988876","2.732","13.202","0.32","10.0","0.1367","0.36","1754956800","1754307362816","0.105","0.55802","0.17288","0.02831","362959208448","0.06287","0.03337","134.138","239309799424","2278530482176","-117668716544","-178096095232","0.947","0.608","3101.3","3080.2","3200.0","2502.5","3013.062","2836.8845","0.326","883491","678114605","361174888","0.9761904761904762"
"HCLTECH.NS","HCL Technologies Limited","Technology","Information Technology Services","2942250778624","2980185112576","17.710098","13.575298","2.39","3.9335678","200.6445","203.231","1028.359","8.71","96.0","0.8801","3.57","1776988800","14663999488","0.053","0.34077","0.16486","0.128","2897999872","0.23357001","0.12831001","6.935","3204999936","550000000","1850499968","2252000000","2.217","-0.002","1087.4","1102.4","1780.1","1078.0","1171.964","1440.351","0.048","4508809","2705766714","1044047144","1.0"
"HDFCBANK.NS","HDFC Bank Limited","Financial Services","Banks - Regional","12267071471616","15287636197376","17.771084","12.653836","0.89","2.0921545","4.329829","5.396","","1.63","13.0","0.2176","1.02","1781827200","2833153523712","-0.018","0.0","0.40539002","0.26834","","0.13818","0.01704","","3119260631040","5884845490176","","-2752336887808","","0.075","796.5","798.9","1020.5","726.65","772.126","889.2283","0.432","41150976","15401219926","15335267476","0.8809523809523809"
