"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ABB.NS","ABB India Limited","Industrials","Specialty Industrial Machinery","1490669404160","1453053444096","95.79872","68.705444","","19.02337","11.143759","10.863","77.387","0.55","39.36","0.59","0.36","1777507200","133767200768","0.008","0.37892","0.11496","0.22257","18776449024","","","1.082","58277699584","848200000","","","","2.76","7034.5","7128.0","7822.5","4637.5","6999.45","5876.26","0.515","446106","211908375","51678095","0.8571428571428571"
"ADANIENSOL.NS","Adani Energy Solutions Limited","Utilities","Utilities - Independent Power Producers","1785586647040","2263665344512","80.0","43.682095","","7.0222516","6.4723234","8.205","25.021","","","0.0","","","275880312832","0.168","0.45397","0.22225","0.08274","90471596032","0.096599996","0.053379998","194.5","48825597952","515923509248","-121189285888","109966802944","1.154","0.035","1486.4","1486.4","1614.8","744.9","1437.472","1095.3505","0.849","3515343","1201282642","313414641","0.8809523809523809"
"ADANIGREEN.NS","Adani Green Energy Limited","Utilities","Utilities - Renewable","2474882105344","3568742170624","156.34756","49.17153","","12.829818","19.047812","27.467","33.047","","","0.0","","","129930002432","0.143","0.91464996","0.59686","0.12715","107989999616","0.07576","0.03683","346.548","40730001408","1035449991168","-252138749952","101349998592","0.569","2.098","1502.5","1502.5","1557.0","765.0","1399.727","1088.0072","1.166","4778976","1647176155","334508534","0.8809523809523809"
"ADANIPOWER.NS","Adani Power Limited","Utilities","Utilities - Independent Power Producers","4351591448576","4915581157376","34.03469","26.500292","","6.7012143","8.022769","9.063","24.896","","","0.0","","","542405197824","-0.001","0.42622003","0.25394","0.23662001","197443403776","0.20908001","0.07479","82.332","24361900032","546702884864","-86567624704","205136494592","1.411","0.888","225.65","227.05","254.2","110.45","225.6124","169.02965","0.504","48431766","19284694705","5437512519","0.8809523809523809"
"AMBUJACEM.NS","Ambuja Cements Limited","Basic Materials","Building Materials","1051077640192","1173230059520","22.204725","27.111927","5.15","1.7618026","2.5853157","2.886","18.406","0.47","2.0","0.105","1.19","1781222400","406556803072","0.072","0.57021","0.06451","0.1163","63743000576","0.08302","0.022969998","1.205","9089500160","8659300352","-28945436672","53615300608","1.047","0.749","423.0","424.25","624.95","394.0","435.93","500.127","0.122","3515519","2484817186","810239018","1.0"
"BAJAJHLDNG.NS","Bajaj Holdings & Investment Limited","Financial Services","Asset Management","1159233273856","1271125377024","12.021745","","","1.5845177","103.14656","113.103","132.186","1.51","160.0","0.1074","1.53","1782777600","11238700032","-0.483","1.0","0.40881002","8.57461","9616199680","0.12624","0.0072399997","0.012","319000000","96200000","16101687296","47803301888","3.446","0.493","10416.0","10592.0","14763.0","8588.0","10384.07","10959.213","0.127","49666","111293510","42756795","0.9523809523809523"
"BANKBARODA.NS","Bank of Baroda Limited","Financial Services","Banks - Regional","1425485987840","2130911690752","7.1821256","6.4013214","","0.85940814","2.2391427","3.347","","3.12","8.5","0.2176","2.58","1780617600","636621357056","-0.076","0.0","0.38452998","0.31175","","0.12738","0.01013","","1018909360128","1724092383232","","-1457730355200","","0.071","275.65","272.8","325.5","230.81","270.4166","281.30484","0.42","12627773","5171362179","1854398764","0.8571428571428571"
"BPCL.NS","Bharat Petroleum Corporation Limited","Energy","Oil & Gas Refining & Marketing","1289893314560","1628167208960","4.990907","7.6108236","0.28","1.2881176","0.283351","0.358","3.8","6.65","20.0","0.372","5.4","1769990400","4552280506368","0.067","0.16704","0.08165","0.05677","428484296704","0.28469","0.093660004","54.332","201686106112","544244203520","254027055104","507689893888","0.794","0.28","301.9","300.8","391.65","266.6","301.694","336.1025","0.895","11618023","4272584874","1852892725","1.0"
"BRITANNIA.NS","Britannia Industries Limited","Consumer Defensive","Packaged Foods","1228428279808","1223195885568","48.525215","39.288513","","24.057852","6.4142365","6.387","34.51","1.77","90.5","0.71309996","1.72","1785369600","191515901952","0.079","0.41869998","0.16267","0.13229","35444301824","0.53314","0.21591","26.875","19909599232","13802800128","20490850304","26115999744","1.119","0.211","5100.0","5102.0","6336.0","5035.0","5389.85","5762.5977","0.465","441774","240868296","117577327","0.9761904761904762"
"BOSCHLTD.NS","Bosch Limited","Consumer Cyclical","Auto Parts","1182056185856","1112935890944","42.574554","37.968987","","7.9623785","5.9000444","5.555","41.991","0.68","270.0","0.5445","1.24","1785715200","200346992640","0.18","0.36113","0.11963","0.13842","26503999488","0.19353001","0.06734","0.8","64678998016","1188000000","-20376875008","21752999936","1.959","0.03","40075.0","39885.0","41945.0","28610.0","37564.4","36460.0","0.647","49649","29496100","8649547","0.9761904761904762"
"CANBK.NS","Canara Bank","Financial Services","Banks - Regional","1147437449216","1139558187008","5.8187675","5.4579287","","0.9748466","2.3776128","2.361","","3.34","4.2","0.1841","3.23","1781222400","482600615936","-0.467","0.0","-0.32213002","0.37035","","0.15935999","0.00988","","1555679936512","1552876830720","","-1038964293632","","-0.098","126.5","125.86","162.89","103.55","133.0614","139.87724","0.487","27701571","9070651260","3077490559","0.8571428571428571"
"CGPOWER.NS","CG Power and Industrial Solutions Limited","Industrials","Electrical Equipment & Parts","1519539978240","1495634149376","124.49032","69.3496","","19.069454","12.236642","12.044","92.023","0.14","1.3","0.1688","0.74","1769731200","124179496960","0.25","0.31018","0.121190004","0.09714","16252900352","0.19561","0.08898","1.444","14292200448","1183900032","-15761837056","7024500224","1.906","0.305","964.8","956.25","969.9","525.5","879.282","736.43524","0.412","3975930","1574979249","685025934","0.9761904761904762"
"CHOLAFIN.NS","Cholamandalam Investment and Finance Company Limited","Financial Services","Credit Services","1521355587584","3457472266240","28.822485","18.375603","","4.986224","11.566931","26.287","","0.08","1.4","0.0323","0.21","1784505600","131526303744","0.241","1.0","0.56111","0.39784","","0.19334999","0.02339","693.261","163961405440","2111560613888","","-300207996928","93.304","0.291","1784.4","1774.0","1831.5","1299.4","1588.054","1634.2574","0.547","2026788","852586631","430654292","0.9047619047619048"
"CUMMINSIND.NS","Cummins India Limited","Industrials","Specialty Industrial Machinery","1553428774912","1497197576192","65.66675","47.094746","","18.32864","12.792592","12.33","48.107","1.19","66.0","0.6279","1.3","1784160000","121431900160","0.219","0.36848998","0.24435","0.19449","31122499584","0.29455","0.16961999","0.431","39224999936","365100000","13411200000","17342599168","3.324","0.227","5604.0","5541.5","6100.0","3312.4","5493.528","4661.462","0.559","575231","277200000","134886993","0.9761904761904762"
"DIVISLAB.NS","Divi's Laboratories Limited","Healthcare","Drug Manufacturers - Specialty & Generic","1742270234624","1705485795328","67.62493","46.570236","","10.387304","16.498772","16.15","49.564","0.46","30.0","0.3101","1.14","1784764800","105600000000","0.095","0.61241","0.28753","0.24318","34410000384","0.16187","0.1007","0.042","34140000256","70000000","-7471249920","27380000768","5.431","0.136","6563.0","6557.5","7071.5","5636.5","6655.42","6376.835","0.217","343905","265468580","118066962","0.9761904761904762"
"DLF.NS","DLF Limited","Real Estate","Real Estate - Development","1517366018048","1429950693376","34.380257","22.892883","0.14","3.3399806","18.517967","17.451","98.729","0.98","6.0","0.33650002","0.68","1753660800","81940201472","-0.42","0.40828","0.19984","0.53876996","14483600384","0.10031","0.01131","0.673","96247398400","3058899968","52642611200","63473700864","1.542","-0.011","613.0","614.75","856.45","489.4","594.448","647.45325","0.304","4334068","2475311706","603879158","1.0"
"DMART.NS","Avenue Supermarts Limited","Consumer Defensive","Discount Stores","2838900506624","2856405434368","95.13661","61.289776","","11.577399","4.1250653","4.151","55.073","","","0.0","","","688207429632","0.189","0.15055001","0.05242","0.04316","51865899008","0.12944001","0.09633","9.913","3057799936","24249899008","-14602200064","34667401216","1.977","0.196","4352.5","4357.0","4949.5","3529.0","4281.356","4075.7766","0.199","610217","652245977","149121260","0.8809523809523809"
"GAIL.NS","GAIL (India) Limited","Utilities","Utilities - Regulated Gas","1141762555904","1360878108672","15.060711","9.72785","","1.2810866","0.8063424","0.961","11.823","7.26","12.5","0.5204","3.94","1770249600","1415977238528","-0.024","0.17091998","0.02754","0.05355","115101401088","0.08688","0.03505","27.809","21266599936","248314904576","12966637568","112486498304","0.849","-0.403","173.65","172.22","195.45","134.36","166.7202","166.79265","0.558","11238487","6575079643","2694306931","0.9761904761904762"
"GODREJCP.NS","Godrej Consumer Products Limited","Consumer Defensive","Household & Personal Products","1038388625408","1060068327424","55.78889","37.2702","1.5","8.197556","6.841451","6.984","33.587","1.96","20.0","1.0995","0.88","1778544000","151779000320","0.084","0.51282","0.19620001","0.12264","31562299392","0.15099","0.08806","34.899","28577900544","44158099456","14315925504","24884600832","0.914","0.097","1014.8","1021.9","1309.0","967.05","1039.789","1118.7853","0.322","1657032","1023244581","362632304","1.0"
"HDFCAMC.NS","HDFC Asset Management Company Limited","Financial Services","Asset Management","1120756826112","1027159293952","39.335037","30.12502","","12.137052","24.249254","22.224","27.455","2.07","54.0","0.6767","1.71","1780617600","46218199040","0.036","0.89233","0.7878","0.61838","37411799040","0.32929","0.24826","2.364","91690598400","2182000128","23974162432","25278099456","30.242","-0.028","2614.6","2606.6","2967.25","2205.6","2673.724","2645.1284","0.555","1083299","428653254","202577594","0.9761904761904762"
