"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ADANIPORTS.BO","Adani Ports and Special Economic Zone Limited","Industrials","Marine Shipping","4127196971008","4684583534592","30.742233","23.118256","0.55","4.301012","10.654743","12.094","20.873","0.42","7.5","0.12020001","0.57","1781222400","387357704192","0.265","0.64403","0.41182","0.33060002","224436092928","0.15592","0.06764","64.051","72847302656","633989890048","-31920062464","203562500096","1.394","0.036","1791.35","1776.6","1857.6","1291.0","1754.83","1527.5236","0.515","1050003","2303959098","872601469","1.0"
"ASIANPAINT.BO","Asian Paints Limited","Basic Materials","Specialty Chemicals","2556187639808","2315963072512","66.30035","52.219887","","13.04982","7.3772655","6.684","39.589","1.02","25.05","0.62450004","0.82","1763424000","346495287296","0.037","0.4292","0.16554001","0.11098","58500173824","","","17.609","56484900864","35570900992","","","","-0.046","2666.6","2657.3","2985.5","2125.0","2753.983","2518.7983","0.121","63225","958594309","442749672","0.8571428571428571"
"AXISBANK.BO","Axis Bank Limited","Financial Services","Banks - Regional","4244636434432","6544831283200","16.144701","11.410898","0.54","1.972352","5.6937666","8.779","","0.07","1.0","0.0117999995","1.03","1783555200","745488318464","-0.11","0.0","0.39288","0.35393003","","0.13152","0.01474","","946491883520","3263375343616","","-1715072532480","","0.064","1364.55","1357.7","1418.3","1041.3","1306.696","1268.9955","0.428","533289","3110649073","2808731286","0.8809523809523809"
"BAJFINANCE.BO","Bajaj Finance Limited","Financial Services","Credit Services","6119681425408","9168470671360","33.946552","24.126945","","5.9237127","14.831866","22.221","","0.46","4.4","0.1519","0.24","1748563200","412603613184","0.065","0.91902","0.5555","0.43703997","","","","310.294","128014401536","3276648742912","","","","-0.069","984.45","982.9","1102.45","802.72","981.91","958.8804","0.119","361844","6216345518","2644089326","0.8095238095238095"
"BAJAJFINSV.BO","Bajaj Finserv Ltd.","Financial Services","Financial Conglomerates","2821047451648","6878132699136","28.897987","19.175581","0.56","3.6164825","1.8903501","4.609","12.116","0.07","1.3","0.0164","0.14","1782777600","1492341227520","0.053","0.51749","0.37205002","0.06568","567693213696","0.14602","0.04916","256.36","176180396032","3613785063424","-157757177856","-553014132736","2.651","0.057","1764.8","1759.95","2194.65","1598.15","1765.52","1930.1827","0.34","90492","1598508313","554914942","1.0"
"BEL.BO","Bharat Electronics Limited","Industrials","Aerospace & Defense","3007973949440","3084008554496","50.367195","41.616226","","13.96051","11.335757","11.622","39.402","0.55","2.4","0.2941","1.38","1755129600","265352708096","0.24","0.48193002","0.27842","0.22475","78271102976","","","0.273","81165197312","588899968","","","","0.207","411.5","412.25","461.4","240.15","409.124","394.30276","0.253","1062704","7309778829","3498656884","0.8571428571428571"
"BHARTIARTL.BO","Bharti Airtel Limited","Communication Services","Telecom Services","11583940984832","12751419211776","41.81982","22.48339","1.41","7.2824254","5.4907274","6.044","10.655","0.87","16.0","0.36060002","0.76","1752796800","2109727965184","0.157","0.67652","0.32227","0.12652999","1196745031680","0.19358999","0.07848","99.718","440774000640","1954117058560","609508392960","1222295945216","0.517","-0.34","1856.8","1842.1","2174.7","1745.0","1845.166","1951.0298","0.016","500732","6237547426","3056373129","1.0"
"ETERNAL.BO","Eternal Limited","Consumer Cyclical","Internet Retail","2374782156800","2354352226304","679.7368","63.240307","","7.635461","4.368299","4.331","194.897","","","0.0","","","543639994368","1.965","0.38005","0.00104","0.0067299996","12080000000","0.01194","-0.00637","14.826","66140000256","45920002048","-28681250816","6320000000","2.768","3.75","258.3","259.3","368.4","212.55","251.286","278.36575","0.261","2327080","9193892179","6672167368","0.8809523809523809"
"HCLTECH.BO","HCL Technologies Limited","Technology","Information Technology Services","2935756947456","2982214631424","17.688295","14.056534","2.39","3.8715613","200.20166","203.37","1029.06","8.7","96.0","0.8801","3.57","1776988800","14663999488","0.053","0.34077","0.16486","0.128","2897999872","0.23357001","0.12831001","6.935","3204999936","550000000","1850499968","2252000000","2.217","-0.002","1085.0","1103.15","1770.0","1078.35","1183.493","1442.4976","0.048","251088","2705766714","1044047144","1.0"
"HDFCBANK.BO","HDFC Bank Limited","Financial Services","Banks - Regional","12217315491840","19710785617920","17.718143","14.027386","","2.1628742","4.2935414","6.927","","1.15","11.0","0.2176","0.67","1753401600","2845330898944","0.264","0.0","0.34794998","0.26187","","0.14015001","0.01749","","1275910160384","6158335082496","","","","0.115","793.9","799.0","1020.35","792.65","969.344","977.5037","0.396","1193433","15388015439","15335984664","0.8333333333333334"
"HINDUNILVR.BO","Hindustan Unilever Limited","Consumer Defensive","Household & Personal Products","4984893079552","5469487759360","45.882355","42.31662","","10.230348","7.7594337","8.514","38.509","1.81","43.0","0.9279","1.56","1762473600","642430009344","0.02","0.50653","0.20756","0.16950001","142029996032","0.21819","0.10227","3.611","82460000256","17749999616","111142502400","114959998976","1.091","0.036","2121.6","2151.1","2779.7","2120.15","2359.031","2433.6528","0.268","105111","2349591262","1019336876","0.9761904761904762"
