"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"A5G.IR","AIB Group plc","Financial Services","Banks - Regional","22055946240","-11708993536","11.172043","10.64451","","1.5101744","5.0831866","-2.699","","9.14","0.96","0.52849996","13.78","1774483200","4338999808","-0.111","0.0","0.58485","0.49343","","0.14204","0.014780001","","47019999232","13121000448","","823000000","","0.079","10.39","10.455","10.75","6.44","9.98812","9.05582","0.542","5354890","2122805159","2073454320","0.8571428571428571"
"BIRG.IR","Bank of Ireland Group plc","Financial Services","Banks - Regional","16536815616","3652922624","15.134784","9.576816","","1.2829869","4.1823006","0.924","","5.09","0.9","0.4617","13.8","1776902400","3953999872","-0.032","0.0","0.39456","0.30374","","0.09264","0.00735","","24781000704","11857999872","","-783000000","","-0.063","17.405","17.675","18.805","11.285","17.1453","16.027575","0.492","2345129","950118660","952097982","0.8571428571428571"
"C5H.IR","Cairn Homes plc","Consumer Cyclical","Residential Construction","1534253568","1702627328","11.761906","9.660891","","1.8242246","1.6242259","1.802","10.061","4.05","0.1","0.4028","","1776902400","944606016","0.337","0.22101","0.19075","0.14050001","169230000","0.16643","0.088599995","27.724","55118000","231955008","-24723000","70622000","5.121","0.498","2.47","2.49","2.51","1.86","2.289","2.13638","0.751","1190630","621155294","606887749","0.9523809523809523"
"DHG.IR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"EG7.IR","FBD Holdings plc","Financial Services","Insurance - Property & Casualty","677914560","382253696","13.0859375","10.73718","","1.2692279","1.3354607","0.753","3.559","5.97","1.0","0.7874","4.13","1776902400","507625984","0.1","0.13302","0.22735001","0.09291001","107393000","0.09791","0.044699997","11.165","276015008","53286000","81373000","65719000","0.555","-0.179","16.75","16.6","18.0","13.5","16.644","15.81475","0.001","21296","40472514","17690850","0.9761904761904762"
"GYQ.IR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"GL9.IR","Glanbia plc","Consumer Defensive","Packaged Foods","5800590336","6454011392","37.5","17.024544","9.04","3.4283643","1.4698435","1.635","14.279","1.8","0.43","0.626","2.45","1773878400","3946400000","-0.002","0.269","0.091800004","0.04645","452000000","0.09165","0.05579","58.411","491200000","1125699968","285387488","368500000","1.356","3.138","24.0","23.8","24.16","12.0","20.5234","16.80545","0.519","737402","241691264","209480581","1.0"
"GVR.IR","Glenveagh Properties PLC","Consumer Cyclical","Residential Construction","1279586688","1453715328","13.052631","10.977337","","1.628365","1.3820237","1.57","10.007","","","0.0","","","925878976","-0.185","0.21375999","0.17465","0.11623","145276992","0.13942","0.075","30.795","75196000","244068000","55911124","100339000","5.938","-0.106","2.48","2.52","2.53","1.696","2.2515","2.033505","0.856","1993533","515962355","432137354","0.8809523809523809"
"GRP.IR","Greencoat Renewables","","","792099904","","14.579999","8.331429","","0.7363636","","","","","","","","","","","","","","","","","","","","","","","","0.729","0.722","0.771","0.71","0.771","0.771","","0","1086556750","","0.30952380952380953"
"IR5B.IR","Irish Continental Group plc","Industrials","Marine Shipping","923253056","1179353088","13.521738","11.371115","8.72","3.2548404","1.3848103","1.769","8.346","2.63","0.16","0.345","2.4","1778716800","666700032","0.121","0.95935","0.17377001","0.11234","141300000","0.24724","0.08089","103.244","36700000","292800000","28375000","149900000","0.593","0.262","6.22","6.2","6.94","5.38","6.3736","6.1852","0.383","70954","148432980","105391869","1.0"
"IRES.IR","Irish Residential Properties REIT Plc","Real Estate","REIT - Residential","615695168","1156774144","11.74","18.956886","","0.8914199","7.204062","13.535","21.442","4.2","0.05","0.48","4.56","1772150400","85465000","0.009","0.78028","0.63089","0.58213","53948000","0.07324","0.026659999","79.467","7614000","548692992","22634376","57082000","0.818","1.551","1.174","1.164","1.192","0.894","1.07756","1.007735","0.752","878420","524442218","522674848","0.9761904761904762"
"KMR.IR","Kenmare Resources plc","Basic Materials","Other Industrial Metals & Mining","191802640","349737824","","","","0.27382395","0.5837444","1.064","6.049","9.59","0.24","0.7541","8.51","1758153600","328572992","-0.355","0.05589","-0.1029","-0.98927003","57820000","-0.32902","0.00014","25.238","48624000","205628992","-84761376","101962000","3.241","","2.16","2.12","4.08","2.08","2.5496","2.829","0.668","6394","88648620","68827034","0.9047619047619048"
"KRZ.IR","Kerry Group plc","Consumer Defensive","Packaged Foods","12929935360","15279159296","20.377834","14.468882","1.43","2.1898007","1.9133916","2.261","13.463","1.73","1.4","0.32810003","1.24","1775692800","6757600256","","0.51153","0.15116","0.097449996","1134899968","0.105909996","0.04844","43.555","348900000","2593100032","304462496","755500032","1.675","","80.9","81.25","94.9","64.3","73.21","74.28025","0.563","417570","159826145","160794382","0.9523809523809523"
"KRX.IR","Kingspan Group plc","Industrials","Building Products & Equipment","14351079424","16606609408","22.164804","16.646282","1.66","3.1797235","1.5600696","1.805","14.48","0.7","0.56","0.1492","0.68","1775692800","9198999552","0.054","0.29680002","0.10446999","0.07296","1146899968","0.15353","0.05767","56.835","584700032","2689600000","336712512","819699968","1.373","-0.006","79.35","81.55","88.0","62.6","79.388","74.72525","1.282","389640","179935454","150711862","1.0"
"MLC.IR","Malin Corporation plc","Healthcare","Drug Manufacturers - Specialty & Generic","32229950","19396540","Infinity","-62.083332","","0.8367026","","","","","","0.0","","","","","0.0","0.0","0.0","","-0.05953","-0.01403","","12900000","0","-912500","-900000","16.125","","7.45","7.45","9.3","7.0","7.673","7.8905","0.4","222","4326168","892642","0.6904761904761905"
