"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"OPCE.TA","OPC Energy Ltd.","Utilities","Utilities - Independent Power Producers","28923150336","29796999168","85.5688","","","12.228924","26.661917","27.467","214.895","","","0.0","","1571875200","1084811392","0.732","0.24157","0.01893","0.09549","138658368","0.05834","0.00818","86.596","1158000000","2441999872","-121331688","238676176","3.917","-0.429","9327.0","9530.0","13690.0","4057.0","11579.4","8911.385","0.228","737399","310101315","157110000","0.8809523809523809"
"ORA.TA","Ormat Technologies, Inc.","Utilities","Utilities - Renewable","20586942464","23491325952","54.383118","","6.32","8.007266","17.691057","20.187","45.849","0.41","1.37","0.2319","0.61","1779235200","1163692032","0.758","0.2751","0.21299","0.10965","512363008","0.04914","0.02034","125.509","654644992","3412025088","-178817120","325670016","1.069","0.076","33500.0","35450.0","42160.0","27750.0","37387.2","36058.75","0.848","128324","61453555","58316484","0.9761904761904762"
"ICL.TA","ICL Group Ltd","Basic Materials","Agricultural Inputs","19334961152","22182340608","23.777777","37.45","","3.1981213","2.6096587","2.994","17.398","3.98","0.6","0.84669995","5.51","1780358400","7408999936","0.145","0.30395","0.116160005","0.03523","1275000064","0.05045","0.03816","49.802","581000000","3150000128","55375000","1086000000","1.376","0.395","1498.0","1490.0","2462.0","1447.0","1697.34","1758.635","0.946","2935619","1290718361","723359925","0.9761904761904762"
"ESLT.TA","Elbit Systems Ltd.","Industrials","Aerospace & Defense","102021890048","101187182592","58.82496","256.2","","23.758974","12.393824","12.292","110.228","0.55","11.99","0.2181","0.93","1782172800","8231671808","0.155","0.24697","0.09372","0.071440004","917980032","0.15567","0.037750002","21.011","925265024","895112000","96182496","875852032","1.406","0.421","217770.0","215070.0","309500.0","140100.0","238666.8","213542.84","-0.252","73132","46848460","27190215","0.9761904761904762"
"AMOT.TA","Amot Investments Ltd.","Real Estate","Real Estate Services","9071578112","18650023936","11.409938","","","0.9278246","7.5279245","15.476","19.538","5.88","1.08","0.67080003","5.84","1779840000","1205057024","0.042","0.84628","0.78897005","0.65223","954545024","0.08331","0.02784","99.423","141674000","9720550400","461525376","799430016","0.389","-0.023","1837.0","1827.0","2719.0","1807.0","1961.44","2268.82","0.346","1667259","493825655","244256200","0.9523809523809523"
"ENLT.TA","Enlight Renewable Energy Ltd","Utilities","Utilities - Renewable","35190951936","38732763136","208.09917","101.94332","","16.03311","65.73755","72.354","91.242","","","0.0","","951177600","535324992","0.426","0.72773004","0.54848","0.11529","424508000","0.04802","0.02201","220.403","978761024","5370435072","-1842522112","319593984","0.774","-0.787","25180.0","25680.0","31750.0","7595.0","26701.2","18865.205","0.893","762952","139757559","133382623","0.9047619047619048"
"BEZQ.TA","Bezeq The Israel Telecommunication Corp. Ltd","Communication Services","Telecom Services","19614132224","26251444224","5.5539064","15.454349","","6.235965","2.2712057","3.04","8.137","5.57","0.4","0.2748","11.83","1777248000","8636000256","-0.03","0.78416","0.19502","0.15343","3225999872","0.44351003","0.081870005","307.891","3251000064","9754000384","1715750016","3438000128","1.17","-0.273","710.9","708.7","913.6","568.5","779.128","742.075","0.17","6007114","2759056506","2775001818","0.9761904761904762"
"BIG.TA","BIG Shopping Centers Ltd","Real Estate","Real Estate Services","17473085440","42490212352","11.325764","","","1.2687185","5.6269827","13.683","22.75","1.29","8.74","0.1351","2.95","1780617600","3105231872","0.033","0.71817","0.5985","0.49014","1867698944","0.115930006","0.02602","170.542","3494475008","26720747520","-449289984","816622016","0.758","-0.579","67830.0","65180.0","84000.0","60940.0","73961.4","74486.0","0.483","36027","25760115","16305220","0.9523809523809523"
"FIBI.TA","First International Bank of Israel Ltd","Financial Services","Banks - Regional","21413455872","-34196670464","9.69133","","","1.4821552","3.1160443","-4.976","","4.48","9.57","0.6692","3.94","1779840000","6872000000","-0.018","0.0","0.52973","0.32159","","0.15649","0.00878","","74646003712","18403999744","","610000000","","-0.095","21350.0","21350.0","30090.0","20930.0","23688.4","25015.25","0.253","236386","100297225","51759665","0.8333333333333334"
"DSCT.TA","Israel Discount Bank Limited","Financial Services","Banks - Regional","36215717888","1602817536","9.33754","9.25","","1.0668205","2.8724396","0.127","","5.14","1.52","0.4511","","1780444800","12608000000","-0.08","0.0","0.48691002","0.31996","","0.11217","0.00857","","88587001856","52194000896","","1664000000","","-0.097","2960.0","2930.0","4137.0","2806.0","3122.22","3395.605","0.381","4625471","1223503978","1230869073","0.8333333333333334"
"DLEKG.TA","Delek Group Ltd.","Energy","Oil & Gas E&P","13844124672","34066999296","67.7102","8.963884","","1.4525094","3.5361748","8.702","16.757","7.22","54.68","5.0042","7.67","1780272000","3915000064","-0.18","0.4516","0.03955","0.84060997","2032999936","0.044650003","0.01171","101.383","3369999872","16709999616","-25939625984","2166000128","10.565","4.0","75700.0","75940.0","121770.0","65010.0","89479.4","90796.9","-0.186","40084","18288143","8893260","0.9761904761904762"
"DIMRI.TA","Y.H. Dimri Construction & Development Ltd","Consumer Cyclical","Residential Construction","8228144640","12721242112","20.91335","","","2.1056602","4.764059","7.366","23.274","1.13","4.03","0.56490004","1.94","1780531200","1727128960","-0.274","0.38641998","0.27933002","0.21203","546580992","0.107130006","0.03736","133.904","150355008","5003856896","-1553973248","-890934016","1.634","-0.654","35720.0","34500.0","51840.0","33010.0","38512.8","40613.8","0.408","33339","23035118","10394133","0.9523809523809523"
"PHOE.TA","Phoenix Financial Ltd.","Financial Services","Insurance - Diversified","41648185344","-11591101440","12.441598","26.71521","","3.268142","2.1403973","-0.596","-1.081","3.34","5.51","0.28170002","","1780963200","19458156544","0.036","0.66448","0.32879","0.17355","10718617600","0.27812","0.03491","120.729","69844213760","15976862720","68001071104","2901838080","4.742","0.269","16510.0","16370.0","20130.0","9530.0","17920.2","15444.55","0.424","704582","252260364","184895283","0.9523809523809523"
"HARL.TA","Harel Insurance Investments & Financial Services Ltd","Financial Services","Insurance - Diversified","32961464320","-14776400896","11.264934","22.54571","","2.7088227","1.5754453","-0.706","-2.631","4.34","6.95","0.1363","5.53","1782691200","20921999360","0.052","0.35197","0.21208","0.14554","5616999936","0.26983","0.02152","196.012","71755997184","23936999424","1022625024","2799000064","9.769","0.105","16030.0","16010.0","20930.0","9212.0","17899.8","15115.81","0.449","686552","205623610","204212734","0.9761904761904762"
"TSEM.TA","Tower Semiconductor Ltd.","Technology","Semiconductors","79654412288","78127489024","109.96885","315.1786","7.83","26.721169","49.121933","48.18","145.313","","","0.0","","875059200","1621565056","0.155","0.24768","0.15609","0.15131","537648000","0.08691","0.04146","5.24","1498547968","155856000","128945128","811529024","5.63","0.629","70600.0","75230.0","91270.0","14240.0","73018.8","46977.4","0.872","348531","112824944","112388400","0.9285714285714286"
