"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"A2A.MI","A2A S.p.A.","Utilities","Utilities - Diversified","7092143104","13179894784","9.445833","10.816872","0.84","1.3218658","0.484436","0.9","6.202","4.59","0.1","0.4175","5.15","1779062400","14640000000","0.147","0.17794001","0.08172","0.04863","2124999936","0.1148","0.03437","109.904","1834000000","7345999872","560875008","1664000000","1.083","","2.267","2.282","2.744","2.071","2.30186","2.369805","0.796","10015105","3128426632","1562314115","0.9761904761904762"
"AMP.MI","Amplifon S.p.A.","Healthcare","Medical Distribution","2508190976","3566094080","30.503227","10.50515","0.4","1.9321619","1.0504725","1.494","10.223","3.07","0.29","0.94769996","1.17","1779062400","2387678976","-0.014","0.23698","0.11372","0.028889999","348839008","0.0624","0.03745","166.757","309555008","1795554048","333686624","404516000","0.48","-0.68","9.456","9.606","20.74","7.836","10.36738","12.320965","0.944","2255322","265248631","84348912","1.0"
"AVIO.MI","Avio S.p.A.","Industrials","Aerospace & Defense","1350295936","769740608","84.22857","106.43367","","1.9364161","2.3133767","1.319","33.825","0.5","0.15","0.3509","","1779062400","583690496","0.201","0.26023","0.04927","0.01795","22756750","0.02271","0.00442","1.431","601845504","10135499","105181024","168080992","1.277","-0.189","29.48","28.7","65.2","21.9","34.385","35.65495","0.916","1341237","45803796","37566441","0.9523809523809523"
"AZM.MI","Azimut Holding S.p.A.","Financial Services","Asset Management","5016132096","4510639104","9.457219","10.166072","1.74","2.232109","3.3128524","2.979","6.398","5.65","2.0","0.463","5.41","1779062400","1514142976","0.127","0.61209","0.4385","0.35381","705038016","0.26435","0.04157","3.153","591228992","71313000","289229376","569827968","7.384","0.086","35.37","35.73","38.7","26.47","36.0384","34.75815","0.985","665210","141818838","100552393","1.0"
"BMED.MI","Banca Mediolanum S.p.A.","Financial Services","Banks - Regional","15843523584","16034578432","12.605883","14.139615","0.23","3.3183649","6.4898906","6.568","","6.07","1.3","0.71589994","6.44","1776643200","2441262080","0.06","0.0","0.65928","0.52055","","0.27824","0.014090001","","1658000000","1851000064","","","","0.146","21.43","21.6","22.26","14.24","19.8117","18.572124","0.752","1386378","739315135","244890255","0.8571428571428571"
"BMPS.MI","Banca Monte dei Paschi di Siena S.p.A.","Financial Services","Banks - Regional","32608305152","66715004928","7.776812","12.108494","0.96","1.1470715","6.887209","14.091","","8.01","0.86","0.6232","5.05","1779062400","4734618112","0.959","0.0","0.48152","0.59633","","0.13343","0.015579999","","52043100160","83873898496","","","","-0.479","10.732","10.816","11.05","6.78","9.55242","8.464295","0.939","30897507","3038418183","2196395213","0.8571428571428571"
"BAMI.MI","Banco BPM S.p.A.","Financial Services","Banks - Regional","22493200384","26092654592","10.908759","11.08063","1.81","1.4644781","4.147043","4.811","","6.69","1.0","0.76809996","6.52","1776643200","5423912960","0.029","0.0","0.52953","0.37814","","0.13722","0.00997","","25254060032","28774928384","","","","","14.945","15.04","15.92","9.822","13.515","12.7351","0.516","7235356","1505065360","1200334777","0.8333333333333334"
"BPE.MI","BPER Banca SpA","Financial Services","Banks - Regional","27764948992","46525825024","12.81154","10.385521","0.65","1.5367936","4.4308653","7.425","","9.36","1.26","0.6699","4.23","1779062400","6266258944","0.241","0.0","0.52411","0.30226","","0.13133","0.01133","","12952286208","32238243840","","","","-0.144","13.324","13.464","13.976","7.22","12.45476","11.364425","0.717","9027888","2083829821","1561095436","0.8571428571428571"
"BC.MI","Brunello Cucinelli S.p.A.","Consumer Cyclical","Luxury Goods","5615439872","6617818112","41.29","31.804108","2.86","10.283936","3.9883773","4.7","23.046","1.26","1.04","0.4732","0.79","1779062400","1407950976","0.1","0.5406","0.16794","0.09591","287160000","0.26525","0.07811","210.724","204099008","1188492032","94984752","242607008","1.415","0.055","82.58","81.92","110.65","69.02","83.8304","86.3539","0.884","305410","68000000","33966000","1.0"
"BZU.MI","Buzzi S.p.A.","Basic Materials","Building Materials","7703132160","6863313920","8.542239","8.506991","0.39","1.1106286","1.701611","1.516","5.773","1.61","0.7","0.1376","1.63","1779062400","4526964224","0.029","0.43249","0.22764999","0.20352","1188961024","0.13445","0.062989995","6.178","1401990016","441038016","265068992","914060032","4.583","0.032","43.48","45.69","54.75","40.2","46.038","48.1885","1.052","499657","177164960","54751429","1.0"
"CPR.MI","Davide Campari-Milano N.V.","Consumer Defensive","Beverages - Wineries & Distilleries","6562153472","8548050944","18.875862","15.766583","1.63","1.6989448","2.1506796","2.802","11.394","1.83","0.1","0.2241","0.78","1776643200","3051200000","-0.028","0.60307","0.17391","0.11350001","750200000","0.0863","0.048260003","69.829","714000000","2698400000","316924992","687600000","2.217","","5.474","5.462","6.832","5.274","5.71668","5.87316","0.434","7259114","1198785728","572408015","0.9761904761904762"
"DIA.MI","DiaSorin S.p.A.","Healthcare","Diagnostics & Research","3468315136","","26.60076","16.27166","1.6","2.4768984","2.9667683","","","1.86","1.3","0.4555","1.12","1779062400","1169054976","-0.083","0.64968","0.20557","0.12114","353950016","0.085530005","0.06388","47.495","","711000000","","329760000","","","69.96","68.34","92.32","52.34","65.5808","67.8589","0.679","318222","49575686","23148571","0.8333333333333334"
"ENEL.MI","Enel SpA","Utilities","Utilities - Diversified","100244807680","185283461120","26.584211","13.487678","0.93","4.145261","1.2867075","2.378","9.128","5.15","0.52","1.2763","6.15","1784505600","77908000768","-0.067","0.38531","0.19259001","0.052360002","20298999808","0.10637999","0.04715","139.941","4696999936","70528999424","1622499968","14197999616","0.809","-0.053","10.102","10.098","10.31","7.575","9.7425","9.20296","0.904","23060858","9923263654","7867997833","1.0"
"ENI.MI","Eni S.p.A.","Energy","Oil & Gas Integrated","59883073536","87265746944","20.707071","8.788665","0.37","1.2274714","0.7088516","1.033","7.255","5.29","1.07","1.0348","6.16","1789948800","84479000576","-0.126","0.20799999","0.042919997","0.029679999","12028000256","0.059109997","0.02246","67.357","14782999552","36569001984","-939374976","12371999744","1.16","0.01","20.5","20.215","25.015","13.672","22.8563","19.051235","0.225","11626722","2921125597","1869803400","1.0"
"RACE.MI","Ferrari N.V.","Consumer Cyclical","Auto Manufacturers","57013522432","58300174336","35.83518","30.52308","4.06","14.1247015","7.915146","8.094","24.111","1.12","3.62","0.3321","0.65","1776643200","7203091968","0.032","0.51609004","0.29479","0.22187","2417952000","0.41968","0.13083","72.246","1816348032","2928934912","985850240","2365772032","2.569","0.013","323.95","322.15","447.5","269.0","299.012","318.88324","0.595","602499","175994809","173921298","1.0"
