"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ABN.AS","ABN AMRO Bank N.V.","Financial Services","Banks - Diversified","29875544064","79162892288","14.433071","10.538207","1.43","1.0946878","3.4046204","9.021","","3.38","1.24","0.5079","","1776988800","8775000064","0.036","0.0","0.4493","0.26496","","0.08442","0.0053","","71414996992","120400003072","","","","0.158","36.66","36.31","38.44","22.79","33.0114","29.5625","0.76","2430567","814935713","522422372","0.8333333333333334"
"ADYEN.AS","Adyen N.V.","Technology","Software - Infrastructure","26143918080","15568754688","24.694668","17.592129","1.14","4.946419","11.001657","6.552","13.007","","","0.0","","","2376361984","0.169","0.68093","0.49539003","0.44712","1196995968","0.22329001","0.059169997","4.775","10827529216","252366000","534254016","1030422016","1.722","0.119","829.0","824.9","1600.8","772.4","906.664","1149.8145","1.844","157458","31536692","28212409","0.9047619047619048"
"AGN.AS","Aegon Ltd.","Financial Services","Insurance - Diversified","11174538240","16062537728","12.313333","7.8234534","14.28","1.4835341","0.91647154","1.317","","5.68","0.42","0.6333","4.7","1781222400","12193000448","-0.137","0.43976003","0.00271","0.080129996","","0.10421","0.0014399999","56.935","603000000","5406000128","-204500000","434000000","7.997","-0.467","7.388","7.446","7.62","5.774","7.24568","6.72116","0.64","5864834","1504328323","1235340038","0.9523809523809523"
"AD.AS","Koninklijke Ahold Delhaize N.V.","Consumer Defensive","Grocery Stores","31110862848","46664859648","14.019842","11.851529","2.96","2.1034772","0.340564","0.511","8.656","4.13","1.46","0.4683","3.44","1775779200","91350999040","-0.043","0.26613","0.040359996","0.02476","5391000064","0.14973","0.045939997","131.305","3865999872","19420000256","2654374912","6449999872","0.772","0.033","35.33","35.43","42.54","32.13","37.1064","36.91275","0.334","2322157","880579129","870945593","1.0"
"AKZA.AS","Akzo Nobel N.V.","Basic Materials","Specialty Chemicals","10123829248","13373830144","16.325968","13.871024","2.52","2.0741208","1.0194169","1.347","12.476","3.35","1.98","0.547","2.97","1777248000","9930999808","-0.087","0.40066","0.07754","0.062529996","1072000000","0.13149999","0.03288","120.894","3032999936","6110000128","689875008","941000000","1.716","-0.129","59.1","60.34","67.64","46.18","55.1308","56.38615","1.17","791400","171300000","153799992","1.0"
"MT.AS","ArcelorMittal S.A.","Basic Materials","Steel","38961774592","50533498880","15.373135","8.281717","0.42","0.8067365","0.62830424","0.815","11.503","0.99","0.51","0.1832","1.39","1785974400","62010998784","0.045","0.074200004","0.048720002","0.047119997","4392999936","0.054330003","0.01051","23.917","4359000064","13683000320","-2022875008","5152999936","1.386","-0.279","51.5","52.52","62.6","25.94","54.8532","44.9033","1.734","2248905","756539353","420239420","1.0"
"ASM.AS","ASM International NV","Technology","Semiconductor Equipment & Materials","47507484672","46597816320","48.300198","35.0426","2.1","11.077548","14.862345","14.578","42.723","0.33","3.25","0.1489","0.62","1778630400","3196499968","0.028","0.51794","0.32243","0.31006","1090700032","0.24936001","0.10936","1.679","981600000","72000000","59450000","758200000","2.245","","971.8","948.0","1092.5","400.0","902.864","681.963","1.547","164463","48886070","46550716","0.9761904761904762"
"ASML.AS","ASML Holding N.V.","Technology","Semiconductor Equipment & Materials","621293273088","615594131456","62.504845","37.78162","2.69","29.826443","18.439997","18.271","48.455","0.67","10.8","0.2568","0.86","1776988800","33692700672","0.132","0.52603","0.36020002","0.29713","12704400384","0.52236","0.15664","12.989","8376300032","2705600000","8243274752","10531500032","1.36","0.192","1612.0","1578.2","1711.4","587.8","1405.264","1129.753","1.396","735366","385417665","385268964","1.0"
"ASRNL.AS","ASR Nederland N.V.","Financial Services","Insurance - Diversified","13538204672","-54616322048","30.33333","10.578764","","1.3255644","0.7905983","-3.189","-8.465","5.2","3.41","1.4954","5.99","1779408000","17123999744","0.095","0.52002996","0.34942","0.032","6451999744","0.05647","0.028099999","239.303","92259000320","24227000320","990000000","-569000000","5.013","-0.594","65.52","66.16","68.14","55.5","65.2132","60.9003","0.521","482747","204558568","192855772","0.9761904761904762"
"BESI.AS","BE Semiconductor Industries N.V.","Technology","Semiconductor Equipment & Materials","22086991872","22008381440","146.78947","44.29867","1.64","48.369755","34.944176","34.82","105.409","0.57","1.58","1.1414","2.74","1777248000","632065024","0.283","0.63273","0.34577","0.24002","208790000","0.3127","0.10138","113.605","611438016","519112992","151480624","226720992","4.735","0.635","278.9","282.7","328.4","105.4","273.462","187.27675","1.365","452359","79193228","70396574","1.0"
