"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"AKRBP.OL","Aker BP ASA","Energy","Oil & Gas E&P","191416680448","199031291904","33.223686","12.168738","","1.6758664","17.716385","18.421","21.949","8.29","25.12","2.7985","7.76","1778544000","10804500480","-0.047","0.89553","0.68179","0.05313","9068099584","0.04749","0.09207","84.625","2161900032","9788099584","-2700312576","6861799936","1.246","1.398","303.0","303.1","373.8","240.6","338.514","291.5455","-0.111","1427249","631738272","263393632","0.9761904761904762"
"BWLPG.OL","BW LPG Limited","Energy","Oil & Gas Midstream","26810460160","27539204096","7.407718","8.964691","","1.4875491","7.5332327","7.738","45.597","10.29","18.18","0.61759996","15.57","1781136000","3558958080","-0.027","0.22472","0.26157","0.1013","603966976","0.20864001","0.08695","44.457","287563008","897830976","364754624","566641024","1.47","2.6","176.6","176.0","212.2","116.8","187.48","155.104","0.083","394046","151814604","81515331","0.9761904761904762"
"DNB.OL","DNB Bank ASA","Financial Services","Banks - Regional","420463017984","1204013629440","10.51687","10.543892","5.22","1.5386473","4.805017","13.759","","6.14","18.0","0.601","5.86","1776816000","87505002496","-0.017","0.0","0.60309","0.48618","","0.14323","0.01081","","672902021120","1450560978944","","-240647995392","","-0.077","293.0","293.3","313.6","256.6","287.652","281.996","0.338","2045471","1435027332","1452111781","0.8809523809523809"
"EQNR.OL","Equinor ASA","Energy","Oil & Gas Integrated","774285492224","788088029184","14.272601","7.883133","0.71","2.0481412","7.4264865","7.559","21.922","4.66","14.48","0.6733","3.77","1786579200","104260001792","-0.053","0.38109002","0.31478","0.05296","35948998656","0.12361","0.11965","72.996","20096000000","31857000448","18090625024","16142999552","1.239","0.292","311.0","309.1","422.3","226.4","345.814","289.559","-0.752","3772871","2489663963","621304320","1.0"
"FRO.OL","Frontline plc","Energy","Oil & Gas Midstream","79654469632","81813413888","8.795477","8.537839","","2.7978933","35.378716","36.338","69.929","16.81","60.14","0.4335","10.92","1781136000","2251480064","0.669","0.55826","0.51809","0.40192002","1169954048","0.35009","0.09212","92.619","471672000","2631087104","373963616","927028992","2.034","15.797","357.8","365.3","424.6","162.55","348.79","287.588","0.022","1030241","222622889","142919442","0.9761904761904762"
"GJF.OL","Gjensidige Forsikring ASA","Financial Services","Insurance - Property & Casualty","134290366464","58293714944","20.613968","15.743067","1.62","7.007383","2.8655949","1.244","6.09","3.72","10.0","0.7675","4.06","1774569600","46862999552","0.059","0.37488997","0.17875999","0.14819","9571874816","0.30256","0.03136","24.415","81469399040","5348700160","10941875200","5376099840","9.996","0.292","268.6","266.6","303.0","241.4","257.636","272.01","0.194","377982","499964129","188962337","1.0"
"GOGL.OL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"HAFNI.OL","Hafnia Limited","Industrials","Marine Shipping","34534887424","35330068480","7.790304","11.722593","","1.3729303","14.3583","14.689","62.456","10.38","7.17","0.6063","","1780444800","2405221120","0.225","0.29339","0.22343999","0.18968001","565675008","0.18931","0.06988","40.353","146456992","1025529024","127692128","593216000","1.602","1.841","69.1","69.75","86.7","48.62","75.682","66.3376","-0.174","720026","499781305","241625616","0.9523809523809523"
"HAUTO.OL","Höegh Autoliners ASA","Industrials","Marine Shipping","28367390720","29042503680","6.1319585","8.4242735","","2.2320974","19.480343","19.944","49.739","12.37","18.4","0.9225","","1779062400","1456205952","0.093","0.43643","0.31531","0.31687","583896000","0.36604","0.13392","75.777","293779008","968889984","81030872","606416000","2.298","-0.336","148.7","149.0","162.7","84.0","141.832","116.5085","0.238","417001","190769288","121310190","0.9523809523809523"
"KOG.OL","Kongsberg Gruppen ASA","Industrials","Aerospace & Defense","257813463040","244963049472","53.977905","26.864374","2.1","10.831486","7.7028227","7.319","39.485","0.75","2.2","0.3676","1.1","1776124800","33469999104","0.271","0.57726","0.16678","0.21993","6204000256","0.20778999","0.042069998","17.906","18466000896","4384000000","-1719000064","10504999936","1.202","-0.263","293.1","278.4","427.0","228.5","306.26044","316.0096","0.213","1597677","879609245","412156795","1.0"
"MOWI.OL","Mowi ASA","Consumer Defensive","Farm Products","100079755264","103591854080","10.265008","10.492106","1.5","1.976104","16.932537","17.527","98.819","3.56","6.75","0.32779998","3.0","1779408000","5910499840","0.141","0.46732","0.14472","0.14332","1048300032","0.19492","0.054629996","75.01","222500000","3540400128","110712496","859699968","3.146","4.8","189.8","192.0","245.8","185.7","198.75","217.8375","0.591","1155629","527290596","393137323","1.0"
"MPCC.OL","MPC Container Ships ASA","Industrials","Marine Shipping","11540644864","11657841664","5.385093","8.679828","","1.3113275","22.644167","22.874","39.111","5.94","1.54","0.4668","","1781827200","509652000","-0.064","0.60682","0.38345","0.42834","298070016","0.24448","0.09064999","48.767","346302016","462896992","11505375","296196992","2.943","-0.308","26.01","25.93","27.45","15.3","24.0588","20.175875","0.165","1638150","443700279","369704383","0.9523809523809523"
"NOD.OL","Nordic Semiconductor ASA","Technology","Semiconductors","34516119552","34490642432","136.5625","37.851227","1.33","5.151971","48.959454","48.923","790.363","","","0.0","","1308268800","704993984","0.241","0.52409","0.052449998","0.03669","43639000","0.041739997","0.02039","24.484","279664992","166548992","-6046250","81638000","3.623","7.848","174.8","177.7","211.0","123.7","191.786","156.649","0.993","731260","197460622","157702468","0.9285714285714286"
"NHY.OL","Norsk Hydro ASA","Basic Materials","Aluminum","176167550976","196727603200","28.73077","8.955358","0.58","1.7182947","0.8752971","0.977","4.133","3.35","3.0","0.72120005","4.55","1778198400","201266003968","-0.117","0.3525","0.20538001","0.0304","47603998720","0.061880004","0.112320006","30.684","20664000512","33753999360","22173874176","17440000000","1.853","-0.119","89.64","88.96","120.4","56.96","106.333","86.8703","0.686","4276119","1965278330","1123567350","1.0"
"NAS.OL","Norwegian Air Shuttle ASA","Industrials","Airlines","15402269696","19751581696","4.9309764","6.7968965","3.35","1.6963975","0.4056645","0.52","3.999","11.61","1.7","0.303","","1778112000","37967998976","0.049","0.21679","-0.072859995","0.08173","4938999808","0.40769002","0.04942","204.85","14222999552","18584000512","1710550016","10008000512","1.098","","14.645","15.66","18.45","13.26","14.9308","15.753725","1.044","12715888","1051708355","781362305","0.9523809523809523"
"ORK.OL","Orkla ASA","Consumer Defensive","Packaged Foods","103167246336","121871613952","16.516329","15.47072","1.14","2.1893747","1.4374304","1.698","13.076","3.77","4.0","0.6221","3.58","1776988800","71771996160","0.013","0.47679","0.09896","0.1584","9319999488","0.1358","0.05153","37.017","4698999808","18894000128","6867125248","9733000192","1.403","-0.045","106.2","105.3","131.2","96.15","106.953","111.28825","0.189","1826028","971443020","647524589","1.0"
"SALM.OL","SalMar ASA","Consumer Defensive","Farm Products","67362463744","91702468608","32.78364","12.270369","1.3","3.6187298","2.3531916","3.203","15.727","2.01","10.0","1.4531","4.32","1782259200","28625999872","0.249","0.46842","0.090950005","0.070879996","5831000064","0.097559996","0.048070002","108.969","569000000","22695999488","2504624896","6886000128","1.522","","497.0","517.5","627.0","407.2","549.4","569.625","0.639","201574","135538162","69085157","0.9761904761904762"
"STB.OL","Storebrand ASA","Financial Services","Financial Conglomerates","76634660864","118390808576","16.919518","13.833518","3.46","2.3183887","1.0486407","1.62","2.062","2.95","5.4","0.4348","3.74","1775779200","73079996416","","0.86901003","-2.4208","0.06368","57407000576","0.1391","0.03632","188.464","23122999296","64043999232","14422124544","353000000","0.424","-0.386","182.9","182.3","184.2","138.1","176.294","168.448","0.536","645758","418997607","362159644","0.9761904761904762"
"SUBC.OL","Subsea 7 S.A.","Energy","Oil & Gas Equipment & Services","96840318976","96673660928","19.987774","13.203965","1.28","2.1410208","13.182369","13.16","73.724","5.96","19.5","0.7725","","1779235200","7346200064","0.17","0.16805","0.11323","0.06711","1311299968","0.108830005","0.06886","19.244","1073169984","875400000","1359032448","1675900032","1.104","4.667","327.0","324.6","358.2","180.1","324.0","249.847","0.599","508638","296147764","197543560","0.9761904761904762"
"TEL.OL","Telenor ASA","Communication Services","Telecom Services","195523280896","250421805056","11.653095","14.717681","1.4","2.5837321","2.5629625","3.283","9.433","6.78","9.7","0.78180003","7.19","1792022400","76288000000","-0.014","0.65228","0.22663","0.17101","26548000768","0.22508","0.051680002","119.873","47616999424","97067999232","7121375232","29393000448","1.57","2.74","143.1","145.0","178.7","141.5","153.226","157.672","0.251","1533134","1366340099","629074800","1.0"
"TGS.OL","TGS ASA","Energy","Oil & Gas Equipment & Services","25781192704","26388576256","","10.403745","0.92","1.4027592","19.565298","20.026","42.235","4.61","6.05","6.8651","5.06","1778198400","1317699968","-0.422","0.83919","0.22621","-0.0015199999","624800000","-0.001","0.05053","40.893","184000000","793200000","364724992","838600000","0.535","","131.2","131.3","159.9","70.05","145.75","109.12","-0.065","620433","196502987","180043444","0.9523809523809523"
"TOM.OL","Tomra Systems ASA","Industrials","Waste Management","27767209984","28393207808","30.519482","13.243593","1.7","4.15021","20.62483","21.09","138.706","2.29","2.15","0.6732","1.19","1776988800","1346300032","0.092","0.61754","0.05389","0.060159996","204700000","0.13775","0.052589998","106.761","91000000","679000000","261112496","165900000","1.546","","94.0","94.4","166.5","89.8","98.94","121.006","1.136","1107962","295395838","217263639","0.9761904761904762"
"VAR.OL","Vår Energi ASA","Energy","Oil & Gas E&P","101497520128","106923081728","15.285714","9.231083","","-43.71204","11.547062","12.164","14.85","10.92","4.44","1.8005","","1780444800","8789900288","0.45","0.86717004","0.48946","0.08726","7200099840","0.97445","0.111090004","1081.588","696099968","6115299840","3104432128","4341799936","0.634","-0.185","40.66","40.67","50.7","31.0","45.4688","38.1636","-0.509","8953122","2496249806","903823883","0.9523809523809523"
"WAWI.OL","Wallenius Wilhelmsen ASA","Industrials","Marine Shipping","55977996288","58052001792","5.4824014","10.338015","","1.8286626","10.773286","11.172","43.714","9.9","13.11","0.59419996","4.33","1773100800","5196000256","-0.034","0.34160998","0.16999","0.18303","1328000000","0.34063998","0.080170006","96.443","890000000","2955000064","412000000","1616000000","0.86","-0.29","132.4","133.1","141.5","75.0","124.716","108.766","0.934","341668","422794566","260767004","0.9761904761904762"
"YAR.OL","Yara International ASA","Basic Materials","Agricultural Inputs","110015995904","113087995904","7.9671645","9.25919","2.53","1.3014883","6.781483","6.971","41.213","5.09","22.0","0.088999994","5.71","1778630400","16222999552","0.166","0.2894","0.13633001","0.0863","2744000000","0.16863","0.06888","46.846","1218000000","4270000128","2263249920","2088999936","1.793","0.109","431.9","437.2","599.4","353.4","502.468","446.6575","0.218","611943","254725627","162481836","1.0"
