"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"AIA.NZ","Auckland International Airport Limited","Industrials","Airports & Air Services","14476406784","16683650048","35.583336","45.44729","34.73","1.3679321","14.738756","16.986","23.858","1.59","0.14","0.5475","2.68","1773792000","982200000","0.061","0.77123","0.48543","0.41784","699299968","0.03979","0.02149","25.066","360600000","2652600064","-538825024","473100000","0.932","-0.138","8.54","8.49","9.18","7.365","8.3058","8.2338","0.497","2238342","1695129603","1694739723","1.0"
"AIR.NZ","Air New Zealand Limited","Industrials","Airlines","1406599552","3623000064","","-12.749121","0.59","0.79379565","0.20697461","0.533","9.534","5.75","0.03","0.7432","7.91","1757548800","6796000256","0.012","0.22307","-0.00784","-0.00177","380000000","-0.00619","-0.00042","179.014","1094000000","3267000064","-16000000","729000000","0.484","","0.435","0.435","0.63","0.4","0.4333","0.5295","0.557","1551250","3233562033","1590300000","0.9523809523809523"
"ANZ.NZ","ANZ Group Holdings Limited","Financial Services","Banks - Diversified","130076508160","107247861760","17.92531","16.875","","1.4984193","3.409279","2.811","","4.73","2.03","0.84769994","5.49","1778457600","38153670656","-0.021","0.0","0.48801","0.27417","","0.082440004","0.00454","","504805556224","482478325760","","-31255652352","","0.007","43.2","42.8","48.06","31.4","43.1352","42.59095","0.568","11936","3011030332","3009795810","0.8571428571428571"
"ARG.NZ","Argosy Property Limited","Real Estate","REIT - Diversified","917668864","1819836672","6.9999995","14.987153","","0.65624994","5.742357","11.388","","6.33","0.07","0.4493","5.6","1780963200","159807008","0.025","0.75574994","0.67608","0.79928","","0.09443","0.03034","64.832","3389000","906076992","3770500","67363000","0.47","-0.297","1.05","1.05","1.345","1.035","1.0693","1.176625","0.363","715212","873970395","864530539","0.9285714285714286"
"ARV.NZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"ATM.NZ","The a2 Milk Company Limited","Consumer Defensive","Packaged Foods","6594124288","5687376896","29.32258","27.405933","1.73","4.7591624","3.2065945","2.766","20.02","2.54","0.23","0.65099996","","1783468800","2056425984","0.188","0.45856997","0.14744","0.059359998","284084000","0.14722","0.08976","1.382","896878016","19148000","157610624","217868992","2.96","-0.881","9.09","9.05","11.9","6.25","7.7026","9.8674","0.292","664893","725426194","723046796","0.9761904761904762"
"CEN.NZ","Contact Energy Limited","Utilities","Utilities - Renewable","9988951040","12090422272","20.733334","19.995714","33.49","2.0891178","2.9826667","3.61","11.659","4.22","0.39","0.8744","4.51","1771372800","3348999936","-0.053","0.32009998","0.22448999","0.11735","1037000000","0.11121","0.06106","71.268","273000000","3164999936","363249984","649000000","0.927","0.168","9.33","9.25","9.99","8.71","9.5562","9.3863","0.106","2426540","1070627153","989849732","1.0"
"CHI.NZ","Channel Infrastructure NZ Limited","Energy","Oil & Gas Refining & Marketing","1317757568","1651058048","63.600002","32.97045","1.45","1.6807612","9.399931","11.777","17.061","4.06","0.13","2.5196002","5.36","1773100800","140188000","0.0","0.87413","0.3121","0.08412","96776000","0.02621","0.02236","43.042","2902000","335558016","14981750","74353000","1.031","","3.18","3.2","3.35","2.06","3.1256","2.8614","0.144","572870","414389163","401033198","0.9761904761904762"
"CNU.NZ","Chorus Limited","Communication Services","Telecom Services","4338872832","8999000064","166.66667","53.487377","2.66","11.627907","4.253797","8.823","13.718","4.85","0.48","9.2741995","5.01","1773619200","1020000000","0.012","0.72059","0.27866","0.023529999","656000000","0.043959998","0.02769","980.233","161000000","4215000064","-937596992","530000000","0.916","","10.0","9.89","10.31","8.31","9.8614","9.49675","0.424","267325","433887294","499755000","0.9761904761904762"
"EBO.NZ","EBOS Group Limited","Healthcare","Medical Distribution","4270956544","6959587840","16.664","13.39282","4.34","1.2704617","0.18465725","0.301","13.983","5.79","1.19","0.9493","3.07","1772668800","23129104384","0.13","0.13079001","0.02755","0.01759","497710016","0.08968","0.03556","68.257","463206432","3272008960","90745128","488069440","1.238","0.067","20.83","20.48","41.98","19.0","20.687","25.0661","0.162","246830","205038721","195020731","1.0"
