"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ALTR.LS","Altri, SGPS, S.A.","Basic Materials","Paper & Paper Products","981555072","1435555072","47.85","12.101669","0.11","2.2916665","1.5426179","2.256","49.504","5.22","0.25","3.0","5.46","1779753600","636291776","-0.33","0.15949","-0.29407","0.01018","28999050","0.012159999","-0.00024000001","147.035","175900000","629900032","","","1.569","","4.785","4.835","5.39","4.24","4.9812","4.765425","0.17","292538","205131672","61000005","0.9285714285714286"
"BCP.LS","Banco Comercial Português, S.A.","Financial Services","Banks - Regional","15141336064","20493813760","14.628572","10.960078","21.65","1.976834","4.1065636","5.558","","3.36","0.03","0.42520002","3.33","1780272000","3687106048","0.111","0.0","0.58988","0.29318002","","0.1359","0.0115","","3688508928","7429236224","","1171954944","","0.291","1.024","1.017","1.051","0.6478","0.943284","0.864309","0.834","51448045","14786460693","8830367874","0.8809523809523809"
"COR.LS","Corticeira Amorim, S.G.P.S., S.A.","Basic Materials","Lumber & Wood Production","854399232","990819968","15.731707","12.169811","0.51","1.1166897","1.0140948","1.176","7.457","5.43","0.35","0.78050005","3.23","1779753600","842524032","-0.08","0.52999","0.101","0.06469","132868000","0.071339995","0.0375","14.081","78405000","120914000","158452256","217498000","3.159","-0.065","6.45","6.47","8.19","6.04","6.6358","6.7342","0.337","202315","132465000","38030020","1.0"
"CTT.LS","CTT - Correios De Portugal, S.A.","Industrials","Integrated Freight & Logistics","771165184","-674319104","15.328947","9.817471","","2.982591","0.5677197","-0.496","-4.26","3.26","0.19","0.4474","2.98","1779753600","1358355584","0.118","0.65166","0.063","0.03662","158301984","0.17005","0.01386","175.751","2077806848","568739264","-29783240","165355104","0.547","-0.25","5.825","5.945","8.14","5.615","6.1688","6.8202","0.873","381199","132388875","77147870","0.9761904761904762"
"EDPR.LS","EDP Renewables, S.A.","Utilities","Utilities - Renewable","14592055296","25835726848","65.571434","28.509909","1.09","1.3855908","6.6263433","11.732","22.036","0.9","0.12","0.4027","0.54","1778544000","2202127872","-0.1","0.79794","0.1286","0.10617","1172407040","0.02773","0.00604","82.776","827000000","10250999808","","1087931008","","","13.77","13.56","14.67","9.385","13.922","12.95885","0.757","1025183","1059698965","294720196","0.9285714285714286"
"EDP.LS","EDP, S.A.","Utilities","Utilities - Diversified","18796941312","44096184320","16.84074","15.266586","2.4","1.5999296","1.2069848","2.831","11.519","4.51","0.21","0.74230003","4.7","1777939200","15573470208","-0.008","0.40208998","0.16107","0.0706","3828236032","0.07778","0.022219999","138.97","3636464128","23658758144","-1200283648","3067816960","1.241","-0.1","4.547","4.462","4.768","3.618","4.44012","4.24843","0.587","9600494","4133921624","2677649871","1.0"
"GALP.LS","Galp Energia, SGPS, S.A.","Energy","Oil & Gas Integrated","14904871936","16895409152","17.951456","10.529133","0.95","3.2547085","0.75521237","0.856","6.335","3.59","0.66","0.6301","4.21","1779148800","19736000512","0.048","0.30466998","0.14714","0.032780003","2667000064","0.16070999","0.0856","87.31","1832999936","4361999872","1612375040","2056000000","1.393","","18.49","18.36","22.26","13.96","19.1643","17.8524","-0.061","2311169","748024974","334868254","0.9761904761904762"
"IBS.LS","Ibersol, S.G.P.S., S.A.","Consumer Cyclical","Restaurants","396386272","569828224","24.875","20.430372","0.28","1.3464141","0.74089885","1.065","8.998","7.13","0.7","1.75","0.93","1780617600","535007264","0.047","0.23595","0.0047299997","0.03026","63330688","0.04976","0.02868","89.56","106561640","280039712","84278544","131790848","1.05","","9.95","9.82","12.52","9.24","11.253","10.6559","0.34","46305","39837815","13828901","0.9761904761904762"
"JMT.LS","Jerónimo Martins, SGPS, S.A.","Consumer Defensive","Food Distribution","10934755328","15031755776","17.058823","12.388485","0.89","3.223416","0.2994347","0.412","7.592","3.74","0.65","0.5813","2.96","1778198400","36517998592","0.063","0.20721","0.03066","0.01747","1980000000","0.18574","0.0515","157.89","1826000000","5703000064","888124992","2400000000","0.635","-0.063","17.4","17.24","23.24","17.15","18.675","20.30555","0.503","1096571","628434220","274877128","1.0"
"EGL.LS","Mota-Engil, SGPS, S.A.","Industrials","Engineering & Construction","1450436736","4796297728","10.745455","7.9502277","3.54","4.5947523","0.27359363","0.905","6.316","3.61","0.17","0.3426","3.93","1779321600","5301427200","-0.206","0.75317","0.105749995","0.025109999","759441984","0.27098","0.043709997","347.843","742160000","3420442880","-242518496","624443008","1.085","-0.018","4.728","4.79","6.21","3.76","4.72788","4.95655","1.133","1669600","306775950","84059678","1.0"
