"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"A17U.SI","CapitaLand Ascendas REIT","Real Estate","REIT - Industrial","12537988096","14350973952","14.764706","15.617222","5.88","1.1180401","13.560313","15.521","","7.38","0.19","0.89419997","4.2","1774915200","924609024","0.059","0.69696","0.6862","0.57527","","0.07132","0.03165","64.47","54555000","5229286912","314928736","762846976","0.257","-0.078","2.51","2.54","2.92","2.42","2.5104","2.69285","0.359","22848979","4995214537","3094308394","0.9523809523809523"
"C38U.SI","CapitaLand Integrated Commercial Trust","Real Estate","REIT - Retail","18675001344","28512497664","18.230768","19.208948","7.3","1.1069593","11.533659","17.609","26.459","6.51","0.16","0.8143","4.77","1777248000","1619174016","0.047","0.69138","0.66342","0.57887","1077602048","0.059070002","0.02543","62.3","150252992","10273447936","113900248","1096977024","0.577","-0.118","2.37","2.39","2.57","2.15","2.3352","2.3569","0.499","31542285","7879748311","5456477605","1.0"
"9CI.SI","CapitaLand Investment Limited","Real Estate","Real Estate Services","12483828736","19945564160","83.333336","17.827854","0.56","0.99127674","5.8527093","9.351","31.66","4.78","0.12","4.1379","","1777852800","2132999936","-0.246","0.46929002","0.27447","0.06798","630000000","0.01217","0.01482","62.792","2022000000","8492000256","298500000","491000000","1.425","","2.5","2.51","3.18","2.46","2.635","2.7555","0.587","10100741","4993531347","2291246182","0.9523809523809523"
"C09.SI","City Developments Limited","Real Estate","Real Estate - Development","6959599616","20251205632","11.455882","14.604698","0.57","0.7458114","1.9401788","5.646","31.584","3.18","0.25","0.1178","1.68","1777507200","3587091968","0.111","0.40789002","0.10576","0.17554002","641187008","0.063779995","0.00923","132.321","2115425024","14054356992","-2368338432","-1511954048","2.231","3.66","7.79","7.86","10.09","5.15","8.2802","8.16735","0.435","1915784","893401730","364436434","1.0"
"D05.SI","DBS Group Holdings Ltd","Financial Services","Banks - Regional","186205601792","300574965760","17.088543","15.688543","3.26","2.7041953","8.3548975","13.487","","4.91","3.24","0.79800004","4.55","1778457600","22286999552","0.032","0.0","0.60021","0.49203998","","","","","70002999296","183164993536","","","","","65.62","66.03","67.0","44.65","61.4904","57.033","0.279","5301975","2837634701","2039097587","0.7857142857142857"
"D01.SI","DFI Retail Group Holdings Limited","Consumer Defensive","Grocery Stores","5064228864","7364460032","22.0","15.877059","1.78","18.243902","0.5710098","0.83","14.491","3.68","0.14","0.6055","3.26","1773878400","8868899840","0.004","0.36701","0.042529996","0.02646","508200000","0.53568","0.038540002","799.562","168700000","2370700032","1435325056","1099200000","0.411","","3.74","3.8","4.82","2.73","4.0148","3.91325","0.46","1411112","1354071879","302971597","0.9761904761904762"
"J69U.SI","Frasers Centrepoint Trust","Real Estate","REIT - Retail","4625860608","7178898944","20.636364","17.857141","3.97","1.0088888","9.273124","14.391","21.816","5.28","0.12","0.5427","5.27","1777852800","498846016","0.219","0.67985","0.66472","0.45548","329059008","0.05085","0.02928","55.65","150168992","2662450944","171209632","281112000","0.742","0.107","2.27","2.29","2.47","2.17","2.2694","2.2813","0.343","4768640","2037824146","1378628692","1.0"
"BUOU.SI","Frasers Logistics & Commercial Trust","Real Estate","REIT - Industrial","3706230016","6141561344","16.25","17.903744","7.31","0.86821014","7.7525163","12.847","20.243","6.08","0.06","1.0625","5.81","1778716800","478068000","0.028","0.64722997","0.6418","0.44541","303385984","0.051880002","0.02626","57.116","120709000","2487558912","216070128","310028992","0.322","0.089","0.975","0.97","1.05","0.815","0.9763","0.9729","0.638","12113717","3801261635","3676630328","1.0"
"G13.SI","Genting Singapore Limited","Consumer Cyclical","Resorts & Casinos","7373724160","4170634240","20.333334","15.411825","2.0","0.89838","3.0071635","1.701","5.41","6.56","0.04","1.2384","3.56","1777507200","2452052992","0.054","0.30482","0.15003","0.15919","770921984","0.04731","0.030569999","0.031","3204339968","2572000","45160000","789980032","4.472","-0.3","0.61","0.61","0.81","0.58","0.6351","0.7046","0.407","41321605","12088072474","5668047949","1.0"
"H78.SI","Hongkong Land Holdings Limited","Real Estate","Real Estate - Development","15258103808","19300790272","12.293104","24.032627","0.93","0.4997897","10.535182","13.327","59.903","3.44","0.25","0.3987","4.94","1773878400","1448300032","-0.323","0.34164003","0.021949999","0.87233","322200000","0.04164","0.0049","19.929","2552000000","6144600064","-1743887488","584400000","3.704","","7.13","7.26","9.12","5.75","7.6874","7.42025","0.335","2913484","2139986426","969245883","0.9761904761904762"
"J36.SI","Jardine Matheson Holdings Limited","Industrials","Conglomerates","18212253696","53351677952","16.400532","10.096013","0.49","0.63037807","0.53225744","1.559","11.225","3.76","2.35","0.5968","4.37","1779321600","34217000960","-0.074","0.27527002","0.11243","0.03241","4752999936","0.060960002","0.02562","33.215","8936999936","18151000064","1470000000","5309000192","1.526","","61.83","62.58","82.5","47.82","67.3968","69.1071","0.426","376018","294553676","275285920","0.9761904761904762"
"BN4.SI","Keppel Ltd.","Industrials","Conglomerates","19787759616","29567619072","19.607141","17.685715","2.9","1.8908213","3.307338","4.942","32.95","3.06","0.34","0.6115","4.41","1777248000","5982986752","","0.28728","0.12727","0.13373","897347008","0.08948","0.01739","104.276","2410851072","11664520192","-732015744","661548032","1.343","","10.98","11.11","13.25","7.39","10.959888","10.825372","0.508","4465485","1802163961","1407187446","0.9523809523809523"
"AJBU.SI","Keppel DC REIT","Real Estate","REIT - Office","5479429632","7631023616","11.789474","18.264841","1.55","1.3114755","11.998835","16.71","","4.58","0.1","0.3168","4.1","1770336000","456663488","0.145","0.80693","0.7098","0.94897","","","","56.661","352076992","2396812032","","","","-0.006","2.24","2.26","2.44","2.15","2.299","2.2962089","0.837","9860696","2446173860","2005586557","0.8333333333333334"
"ME8U.SI","Mapletree Industrial Trust","Real Estate","REIT - Industrial","5538706944","7799804416","27.714287","15.763387","1.23","1.1923786","8.229987","11.59","17.762","6.55","0.13","1.7541001","5.33","1778025600","672990976","-0.08","0.67366","0.56466997","0.32897","439121984","0.04246","0.03279","44.867","95213000","2353764096","195513248","433643008","0.227","","1.94","1.94","2.23","1.9","1.9618","2.0364","0.352","7713038","2855003431","2133886664","0.9761904761904762"
"M44U.SI","Mapletree Logistics Trust","Real Estate","REIT - Industrial","6246274048","11588795392","24.4","19.696482","2.32","0.96366507","8.819008","16.362","22.575","5.9","0.07","1.4914999","5.49","1778198400","708273984","-0.017","0.7358","0.71575","0.39125","513344000","0.03893","0.023020001","78.717","302270016","5570712064","262539872","542145024","1.01","","1.22","1.23","1.37","1.13","1.208","1.26275","0.601","17537940","5119896749","3735783862","0.9761904761904762"
"N2IU.SI","Mapletree Pan Asia Commercial Trust","Real Estate","REIT - Office","6869680640","12312394752","25.999998","16.493277","2.76","0.7518797","7.824826","14.024","19.957","6.13","0.08","1.5954","5.7","1778025600","877934016","-0.059","0.70649004","0.70903","0.30258","616944000","0.02792","0.024400001","59.619","164223008","5599899136","192405504","586003008","0.39","","1.3","1.3","1.5","1.22","1.2936","1.39595","0.535","15094846","5284369726","2319219719","0.9761904761904762"
"O39.SI","Oversea-Chinese Banking Corporation Limited","Financial Services","Banks - Regional","111300370432","82417901568","15.024243","13.786009","2.9","1.852904","7.8835793","5.838","","3.38","0.84","0.4967","4.75","1776902400","14117999616","0.049","0.0","0.58333","0.53216","","","","","75255996416","44814000128","","","","","24.79","24.88","25.32","16.19","23.2644","20.4506","0.189","6792102","4489728475","3517641948","0.7857142857142857"
"S58.SI","SATS Ltd.","Industrials","Airports & Air Services","6632181760","10305579008","23.631578","18.165634","1.14","2.4113855","1.0451788","1.624","8.99","1.54","0.07","0.2926","3.67","1784678400","6345500160","0.089","0.34724998","0.0798","0.044949997","1146400000","0.10695","0.03782","140.842","752499968","4136100096","621112512","1030200000","0.966","0.235","4.49","4.56","4.59","3.03","3.694","3.635","0.557","7221436","1477100687","875344638","1.0"
"5E2.SI","Seatrium Ltd","Energy","Oil & Gas Equipment & Services","6608042496","7746468864","21.666666","12.469625","0.64","0.9558824","0.57603115","0.675","10.368","1.54","0.03","0.1584","2.68","1777939200","11471675392","0.17","0.07389","0.03603","0.028210001","747180992","0.04829","0.01652","42.905","1820740992","2963458048","-531126496","142284992","1.225","0.481","1.95","1.95","2.51","1.92","2.181","2.21725","0.271","15837210","3388739489","2163961249","1.0"
"U96.SI","Sembcorp Industries Ltd","Utilities","Utilities - Diversified","11268603904","20278321152","11.50909","10.123951","2.31","2.0301476","1.9431977","3.497","14.474","3.88","0.25","0.4752","2.59","1778025600","5799000064","","0.22383","0.15646","0.16968","1400999936","0.17559999","0.03286","166.008","1232999936","9738000384","62875000","1170000000","1.046","","6.33","6.44","7.93","5.6","6.3892","6.2434","0.08","4909651","1780190258","868801948","0.9523809523809523"
"C6L.SI","Singapore Airlines Limited","Industrials","Airlines","23978229760","24967174144","20.026316","21.010492","14.08","1.3891932","1.1684158","1.217","5.75","5.74","0.44","0.91620004","3.45","1786406400","20522000384","0.08","0.34004003","0.14454001","0.057690002","4342300160","0.072459996","0.03426","60.214","10242299904","10649400320","326862496","5103000064","0.968","-0.535","7.61","7.66","7.72","6.21","6.7394","6.60975","0.517","7947829","3150884285","1556316275","1.0"
"S68.SI","Singapore Exchange Limited","Financial Services","Financial Data & Stock Exchanges","25878358016","24579639296","39.62295","32.08677","3.69","11.320843","18.165592","17.254","30.448","1.86","0.45","0.64769995","3.05","1778112000","1424580992","0.079","0.94569","0.57677","0.45676997","807276032","0.30133","0.12024","29.888","2046023040","683062016","490717632","826300992","2.018","0.009","24.17","24.23","24.5","14.65","22.1644","18.8297","0.24","2643551","1070680977","1063111262","1.0"
"Z74.SI","Singapore Telecommunications Limited","Communication Services","Telecom Services","72350654464","81458659328","13.0","20.417591","1.49","2.6419606","5.073465","5.712","23.773","3.02","0.13","0.38959998","3.45","1785456000","14260599808","0.046","0.25195","0.08369","0.39312","3426500096","0.20549","0.01923","40.669","3470400000","11678699520","945649984","4920300032","1.04","-0.807","4.42","4.44","5.27","3.8","4.5432","4.62045","0.26","39044325","16368925622","7931419696","1.0"
"S63.SI","Singapore Technologies Engineering Ltd","Industrials","Aerospace & Defense","32539566080","36947578880","69.53333","27.174904","0.82","12.627119","2.6355453","2.993","24.036","1.73","0.18","1.1557","3.68","1779753600","12346426368","0.117","0.19021","0.090450004","0.03748","1537202048","0.16886","0.044359997","165.437","576436992","4832833024","554155008","1708306944","1.081","-0.837","10.43","10.38","11.63","7.54","10.866","9.71865","0.147","4883199","3119804988","1522921321","1.0"
"Y92.SI","Thai Beverage Public Company Limited","Consumer Defensive","Beverages - Wineries & Distilleries","10932283392","279033380864","10.875","9.792172","1.03","1.8752507","0.033123743","0.845","5.309","5.74","0.03","0.6343","4.17","1779753600","330043719680","0.01","0.32222","0.14757","0.075430006","52563189760","0.14257","0.05212","107.095","52043268096","242405113856","24979152896","50016509952","1.513","0.082","0.435","0.435","0.5","0.41","0.4331","0.45525","0.454","22137831","25131686143","7253255938","1.0"
"U11.SI","United Overseas Bank Limited","Financial Services","Banks - Regional","65603502080","46804410368","14.443637","10.914127","1.03","1.3530915","5.6467123","4.029","","3.56","1.42","0.6436","4.65","1776988800","11617999872","-0.044","0.0","0.52656","0.39843","","0.09151","","","78316003328","56228999168","","","","","39.72","39.9","40.07","33.25","37.7962","36.36125","0.377","3021490","1651648991","1154147037","0.8095238095238095"
"U14.SI","UOL Group Limited","Real Estate","Real Estate - Development","8110382080","16492776448","16.807018","15.864342","2.22","0.68821836","2.5077825","5.1","17.741","1.86","0.18","0.3158","2.33","1777939200","3234085120","0.106","0.3946","0.24632","0.14895001","929654016","0.037130002","0.021930002","27.901","1246936064","4650483200","960473984","1291974016","2.372","0.212","9.58","9.69","11.48","6.04","10.1948","9.51475","0.611","1417673","846595232","453442223","1.0"
"V03.SI","Venture Corporation Limited","Technology","Electronic Components","4916761088","3674275840","21.645569","18.687096","2.51","1.7616154","1.9399203","1.45","13.905","4.37","0.75","0.953","4.99","1777939200","2534516992","-0.058","0.27685","0.09749","0.089549996","264232000","0.07998","0.04157","0.702","1285240960","19633000","219987248","251535008","3.337","-0.055","17.1","17.16","18.75","11.39","17.425","15.87695","0.604","977238","287529877","264868333","1.0"
"F34.SI","Wilmar International Limited","Consumer Defensive","Packaged Foods","22224719872","46131834880","12.275863","10.322637","9.9","0.78496623","0.31562167","0.655","12.368","3.81","0.14","0.4759","4.4","1777420800","70415695872","0.03","0.08231","0.03618","0.02004","3729867008","0.065630004","0.02493","124.147","11086810112","31112243200","1307077888","2361797888","1.123","0.395","3.56","3.67","4.02","2.78","3.6658","3.3919","0.106","9339150","6242898806","1779990462","1.0"
"BS6.SI","Yangzijiang Shipbuilding (Holdings) Ltd.","Industrials","Aerospace & Defense","13341647872","-839658752","8.071429","6.524414","1.85","2.1869173","0.46804884","-0.029","-0.089","5.87","0.2","0.3041","3.54","1778025600","28504819712","0.158","0.34243","0.30958","0.303","9423176704","0.29443002","0.09884","17.708","20088229888","5712304128","-6466188288","4464549888","1.763","0.251","3.39","3.41","4.62","2.18","3.825","3.6269","0.875","18350331","3935589220","2537667929","1.0"
