"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ABB.ST","ABB Ltd","Industrials","Electrical Equipment & Parts","1860286414848","1864226045952","39.529503","38.89943","3.21","125.98329","53.809048","53.923","265.938","1.08","11.11","0.44169998","2.09","1774224000","34572001280","0.183","0.40374002","0.20586","0.14335","7009999872","0.3355","0.08927","59.719","5926000128","9176999936","475500000","5814000128","1.376","0.212","1025.0","1011.5","1058.5","557.0","973.048","789.369","1.023","455594","1814913558","1813947300","1.0"
"ADDT-B.ST","Addtech AB (publ.)","Industrials","Industrial Distribution","91678572544","97892564992","42.716984","43.316326","4.1","11.743145","4.03817","4.312","27.337","0.94","3.2","0.4025","0.94","1756339200","22702999552","0.019","0.333","0.14715","0.094569996","3580999936","0.28601","0.09495","85.472","1490000000","7148000256","2003250048","2996000000","1.494","0.137","339.6","332.6","358.4","283.2","330.92","319.843","1.133","398139","257096058","256111471","1.0"
"ALFA.ST","Alfa Laval AB (publ)","Industrials","Specialty Industrial Machinery","233860022272","248277024768","28.575758","25.788513","3.22","4.9988074","3.383","3.592","18.218","1.59","9.0","0.42970002","1.75","1776902400","69128003584","-0.033","0.36625","0.17093","0.11833","13628000256","0.18301001","0.07738","40.204","5024000000","18990000128","4864875008","8997999616","1.381","-0.046","565.8","559.2","579.8","394.3","543.24","498.5845","0.796","620992","413326315","290812262","1.0"
"ASSA-B.ST","ASSA ABLOY AB (publ)","Industrials","Security & Protection Services","377775030272","441891913728","23.917019","22.21424","1.62","3.4829538","2.5148118","2.942","15.494","1.88","6.4","0.4155","1.68","1794268800","150219997184","-0.058","0.43120998","0.1527","0.10511","28519999488","0.15045","0.07067","61.185","2512999936","66465001472","17268000768","22093000704","1.002","0.444","340.1","340.9","396.9","291.7","343.162","352.4875","0.843","1918392","1053250365","999798370","1.0"
"AZN.ST","AstraZeneca PLC","Healthcare","Drug Manufacturers - General","2857463709696","2880437485568","28.4908","18.238964","1.4","60.29715","47.278477","47.659","143.835","1.61","29.62","0.477","2.07","1771459200","60438999040","0.125","0.81504995","0.27943","0.17188999","20025999360","0.23482999","0.08487","71.815","7674999808","34029000704","6558875136","14220999680","0.909","0.053","1842.5","1829.0","1925.5","1316.0","1730.77","1713.515","0.214","273565","1550862203","1541208530","1.0"
"ATCO-A.ST","Atlas Copco AB (publ)","Industrials","Specialty Industrial Machinery","934743769088","949575745536","35.813087","29.890797","2.8","7.673208","5.6258016","5.715","23.026","1.57","3.0","0.5607","1.54","1792368000","166152994816","-0.051","0.42635","0.20377001","0.15697","41239998464","0.2242","0.10508","29.075","20828000256","35472998400","21434499072","29727000576","1.698","-0.052","191.6","189.45","198.75","143.3","182.225","174.26625","1.069","4617845","3317744716","3947243261","1.0"
"BOL.ST","Boliden AB (publ)","Basic Materials","Other Industrial Metals & Mining","151575412736","164763418624","13.747102","17.518871","2.98","1.8666686","1.5125778","1.644","6.742","2.06","11.0","0.0","2.88","1777420800","100209999872","0.317","0.1765","0.18852","0.110089995","24440000512","0.14731","0.069120005","28.514","9994999808","23160000512","5711249920","24544000000","1.757","0.683","533.8","537.0","727.8","291.6","536.822","522.686","1.125","1156581","283955454","278759069","1.0"
"EPI-A.ST","Epiroc AB (publ)","Industrials","Farm & Heavy Construction Machinery","314312196096","324953210880","36.903408","31.039425","2.34","6.847293","5.1685033","5.343","22.931","1.46","3.8","0.5398","1.61","1792108800","60813000704","-0.076","0.36068","0.19830999","0.13987","14170999808","0.19252001","0.0932","43.22","9214000128","19843999744","6956125184","9742999552","2.432","-0.044","259.8","255.9","284.3","186.6","265.204","234.71675","1.217","1647034","819850906","1001903444","1.0"
"EQT.ST","EQT AB (publ)","Financial Services","Asset Management","312490459136","309441658880","38.93586","18.30706","0.84","41.649773","118.70934","117.551","218.579","1.87","5.0","0.6376","1.08","1795996800","2632399872","-0.043","0.66510004","0.41901","0.27648002","1415699968","0.09325","0.05742","35.196","6150600192","2644600064","1211774976","430300000","6.835","-0.223","267.1","266.8","383.0","259.0","299.976","315.119","1.385","1676181","1169938099","945134764","1.0"
"ERIC-B.ST","Telefonaktiebolaget LM Ericsson (publ)","Technology","Communication Equipment","357523324928","336586735616","14.310345","16.965408","1.93","3.511227","1.5478004","1.457","9.384","2.78","3.0","0.38729998","3.46","1790553600","230988005376","-0.103","0.48048002","0.107659996","0.108950004","35869999104","0.27007","0.06922","38.097","63089999872","39289999360","29486125056","35998998528","1.121","-0.785","107.9","106.65","128.45","69.9","114.122","99.53775","0.518","8839083","3051713196","2907160199","1.0"
"ESSITY-B.ST","Essity AB (publ)","Consumer Defensive","Household & Personal Products","186657013760","217760825344","15.1293335","20.79425","3.61","2.1333396","1.3655","1.593","8.916","3.18","8.75","0.4816","2.81","1774569600","136694996992","-0.051","0.33472002","0.13136","0.09125","24423999488","0.14936","0.06571","47.993","12122000384","42311000064","8324624896","16782000128","1.052","-0.043","274.9","278.3","293.1","236.1","256.394","259.753","0.37","1502669","621799034","597597769","1.0"
"EVO.ST","Evolution AB (publ)","Consumer Cyclical","Gambling","132606615552","134145785856","11.642355","9.460327","","31.433601","64.414825","65.162","106.654","5.05","30.5","0.53330004","2.46","1747008000","2058635008","-0.015","1.0","0.57035","0.51459","1257771008","0.24971001","0.12939","2.056","1097950976","88399000","851060352","1239723008","1.767","0.017","678.4","658.2","887.6","515.4","674.332","639.433","0.721","683858","195469642","119940398","0.9761904761904762"
"SHB-A.ST","Svenska Handelsbanken AB (publ)","Financial Services","Banks - Diversified","283874885632","1336999018496","11.663921","12.410168","19.51","1.6279417","5.094302","23.993","","5.65","8.0","0.65900004","5.48","1774483200","55723999232","-0.093","0.0","0.51917","0.42644","","0.13495","0.0064700004","","593015996416","1649639030784","","-66344001536","","0.006","141.6","141.6","149.7","114.0","134.597","132.80824","0.498","5315532","1944777165","1625583593","0.8809523809523809"
"HM-B.ST","H & M Hennes & Mauritz AB (publ)","Consumer Cyclical","Apparel Manufacturing","265077735424","323153723392","21.592978","18.76271","2.53","6.4052615","1.2012241","1.464","13.453","4.28","7.1","0.90489995","4.91","1793750400","220672999424","-0.033","0.54116","0.109960005","0.05574","24021000192","0.34669","0.07021","226.362","18697000960","76790996992","22312249344","33006999552","1.067","0.007","166.05","166.05","194.3","127.5","166.435","175.07675","1.006","2348512","1401973003","475591445","1.0"
"HEXA-B.ST","Hexagon AB (publ)","Technology","Scientific & Technical Instruments","216307171328","217615073280","9.581451","15.118199","0.69","17.982594","39.859802","40.101","170.558","1.88","1.52","0.1847","1.19","1777248000","5426699776","0.002","0.66043997","0.24139","0.37515998","1275900032","0.17889","0.03686","26.983","1978099968","3254000128","-6078737408","1470499968","3.443","7.437","80.58","80.98","122.1","71.57264","87.615875","100.92407","0.854","5350221","2574127888","2017014701","1.0"
