"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"MMM","3M Company","Industrials","Conglomerates","84718166016","92075171840","31.236538","17.14536","1.74","25.963873","3.3854766","3.679","14.756","1.92","3.12","0.5723","3.88","1779408000","25024000000","0.013","0.39714","0.23316999","0.11137","6240000000","0.71458","0.08118","396.497","5818999808","13127999488","2322374912","2959000064","1.594","-0.397","162.43","164.01","177.41","139.34","151.9992","157.96014","1.095","3847288","521567261","520680597","1.0"
"GOOGL","Alphabet Inc.","Communication Services","Internet Content & Information","4315439693824","4253859446784","26.95503","24.300047","1.33","8.949992","10.214107","10.068","26.37","0.25","0.88","0.0641","","1780876800","422498009088","0.218","0.60368","0.36121","0.37919","161315995648","0.38884997","0.14641","20.026","126839996416","95875997696","27921750016","174353006592","1.922","0.82","353.65","337.39","408.61","172.77","369.6288","314.42496","1.237","31801452","5867155790","10823222800","0.9761904761904762"
"AXP","American Express Company","Financial Services","Credit Services","232591441920","239183446016","21.278402","16.913706","1.62","6.838663","3.3801003","3.476","","1.11","3.8","0.21290001","1.1","1782950400","68811997184","0.116","0.62759","0.21245001","0.16305","","0.34419","0.03796","177.847","53866999808","60458999808","","17468000256","1.574","0.176","340.88","340.36","387.49","288.34","320.8992","337.8734","1.058","3150769","682326443","529253329","0.9285714285714286"
"AMGN","Amgen Inc.","Healthcare","Drug Manufacturers - General","194591817728","239876816896","25.055593","15.358094","1.96","21.173948","5.2281523","6.445","14.179","2.8","10.08","0.6722","3.07","1778803200","37219999744","0.058","0.71443003","0.33800998","0.20955999","16917999616","1.01318","0.08347999","623.754","12037999616","57322999808","7436624896","10755999744","1.261","0.044","360.55","358.33","391.29","269.77","340.4546","334.01956","0.416","2783307","539708274","538229473","1.0"
"AMZN","Amazon.com, Inc.","Consumer Cyclical","Internet Retail","2583212326912","2675663175680","31.638998","24.30434","1.83","5.8438177","3.4777813","3.602","17.167","","","0.0","","","742775980032","0.166","0.50604","0.1314","0.12224","155860992000","0.24285","0.06845","53.3","143088992256","235540004864","9806624768","148531003392","1.177","0.748","240.14","232.69","278.56","196.0","255.9376","232.81665","1.444","50335706","10757109436","9779826044","0.9047619047619048"
"AAPL","Apple Inc.","Technology","Consumer Electronics","4138015391744","4154219560960","34.150303","29.320671","2.29","38.80716","9.166217","9.202","25.968","0.38","1.08","0.1259","0.5","1778457600","451442016256","0.166","0.47862","0.32275","0.27152002","159975997440","1.4147099","0.26229","79.548","68507000832","84710998016","101090746368","140222005248","1.07","0.218","281.74","283.78","317.4","199.26","291.8646","269.7336","1.086","52601277","14687356000","14662534368","1.0"
"BA","The Boeing Company","Industrials","Aerospace & Defense","169240625152","198682624000","84.85771","51.34368","23.54","28.282177","1.8359002","2.155","-60.964","","","0.0","2.48","1581552000","92184002560","0.14","0.048249997","0.01715","0.024600001","-3259000064","1.69947","-0.02069","828.696","20177999872","49614000128","2554249984","2502000128","1.176","","214.69","217.25","254.35","176.77","223.9044","218.2719","1.198","6635912","788302331","756423385","0.9285714285714286"
"CAT","Caterpillar Inc.","Industrials","Farm & Heavy Construction Machinery","475878981632","515674570752","51.55638","34.311295","2.37","25.503935","6.7257295","7.288","35.425","0.63","6.52","0.2958","1.72","1784505600","70755000320","0.222","0.28601998","0.18180001","0.13328","14556999680","0.51331","0.085200004","230.793","3316000000","43065999360","3776624896","12320000000","1.353","0.302","1033.19","997.47","1057.07","384.25","900.5838","688.1787","1.603","2896063","460591983","459186019","1.0"
"CVX","Chevron Corporation","Energy","Oil & Gas Integrated","335524462592","378894581760","29.350176","13.343704","0.69","1.8133383","1.8064201","2.04","9.996","4.23","7.12","1.2038","4.03","1779148800","185740001280","0.023","0.42421","0.07312","0.059270002","37906001920","0.06638","0.0346","23.989","5327000064","45427998720","11776499712","31264000000","1.094","-0.445","168.47","171.06","214.71","142.4","185.0718","172.2852","0.472","10330265","1991597732","1882394459","1.0"
"CSCO","Cisco Systems, Inc.","Technology","Communication Equipment","463906832384","480267862016","39.233334","24.640285","1.58","9.49117","7.6368294","7.906","28.239","1.43","1.68","0.55","2.79","1783296000","60745998336","0.12","0.64296997","0.24992001","0.19685","17006999552","0.25229","0.07337","67.541","16640000000","33001000960","9288375296","13025000448","0.925","0.371","117.7","113.77","130.37","65.75","109.3494","84.185","1.004","23882485","3941434665","3935128370","1.0"
