"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"ADBE","Adobe Inc.","Technology","Software - Application","82055921664","83506921472","11.809497","7.4958844","0.55","7.1510715","3.256446","3.314","8.583","","","0.0","0.12","1111622400","25198000128","0.127","0.89404","0.35327998","0.28689","9729000448","0.62953997","0.19926001","61.443","5625999872","7077000192","9218374656","10481000448","0.751","0.079","206.43","202.73","392.58","190.12","237.0122","290.73294","1.404","6212476","397500000","396243900","0.9523809523809523"
"AMD","Advanced Micro Devices, Inc.","Technology","Semiconductors","879692677120","871216709632","178.63907","40.969307","1.25","13.641742","23.487282","23.261","117.257","","","0.0","","798940800","37454000128","0.378","0.5306","0.14396","0.13374","7430000128","0.08063","0.03647","6.005","12346999808","3871000064","7173374976","9724999680","2.725","0.912","539.49","521.58","562.99","133.5","444.3452","272.3654","2.492","37405750","1630600639","1622023680","0.9285714285714286"
"ABNB","Airbnb, Inc.","Consumer Cyclical","Travel Services","87346110464","77875118080","36.33827","24.249983","1.35","11.467196","6.906469","6.158","29.735","","","0.0","","","12647000064","0.179","0.82913","0.03211","0.19902","2619000064","0.32325","0.06245","33.185","12005000192","2534000128","3191000064","4565000192","1.442","0.06","147.17","145.56","150.19","110.81","137.6592","129.71162","1.159","3787571","417930233","402550649","0.9047619047619048"
"ALNY","Alnylam Pharmaceuticals, Inc.","Healthcare","Biotechnology","39188611072","39149617152","73.5639","21.623627","0.5","36.42139","9.141431","9.132","48.516","","","0.0","","","4286923008","0.964","0.80827004","0.23016001","0.12550001","806942976","0.90356004","0.10062","276.203","3009222912","2970230016","204714128","714896000","3.127","","293.52","291.37","495.55","273.11","296.0972","369.32974","0.267","1130025","133512573","132941139","0.8809523809523809"
"GOOGL","Alphabet Inc.","Communication Services","Internet Content & Information","4315439693824","4253859446784","26.95503","24.300047","1.33","8.949992","10.214107","10.068","26.37","0.25","0.88","0.0641","","1780876800","422498009088","0.218","0.60368","0.36121","0.37919","161315995648","0.38884997","0.14641","20.026","126839996416","95875997696","27921750016","174353006592","1.922","0.82","353.65","337.39","408.61","172.77","369.6288","314.42496","1.237","31801452","5867155790","10823222800","0.9761904761904762"
"GOOG","Alphabet Inc.","Communication Services","Internet Content & Information","4286519705600","4225144455168","26.815266","24.1372","1.32","8.890014","10.145657","10.0","26.192","0.25","0.88","0.0641","","1780876800","422498009088","0.218","0.60368","0.36121","0.37919","161315995648","0.38884997","0.14641","20.026","126839996416","95875997696","27921750016","174353006592","1.922","0.82","351.28","334.69","404.47","173.88","367.0014","313.89966","1.237","21663993","5499638298","10823222800","0.9761904761904762"
"AMZN","Amazon.com, Inc.","Consumer Cyclical","Internet Retail","2583212326912","2675663175680","31.638998","24.30434","1.83","5.8438177","3.4777813","3.602","17.167","","","0.0","","","742775980032","0.166","0.50604","0.1314","0.12224","155860992000","0.24285","0.06845","53.3","143088992256","235540004864","9806624768","148531003392","1.177","0.748","240.14","232.69","278.56","196.0","255.9376","232.81665","1.444","50335706","10757109436","9779826044","0.9047619047619048"
"AEP","American Electric Power Company, Inc.","Utilities","Utilities - Regulated Electric","75070169088","127532163072","20.409763","20.115852","2.54","2.3595507","3.346417","5.685","13.952","2.75","3.8","0.55619997","3.51","1778198400","22432999424","0.102","0.47243","0.23738001","0.16289","9141000192","0.12585","0.031689998","157.099","516000000","51808002048","-6953449984","7013000192","0.526","0.067","137.97","138.69","139.44","102.06","131.0812","123.7007","0.518","4338501","544105032","543288798","1.0"
"AMGN","Amgen Inc.","Healthcare","Drug Manufacturers - General","194591817728","239876816896","25.055593","15.358094","1.96","21.173948","5.2281523","6.445","14.179","2.8","10.08","0.6722","3.07","1778803200","37219999744","0.058","0.71443003","0.33800998","0.20955999","16917999616","1.01318","0.08347999","623.754","12037999616","57322999808","7436624896","10755999744","1.261","0.044","360.55","358.33","391.29","269.77","340.4546","334.01956","0.416","2783307","539708274","538229473","1.0"
"ADI","Analog Devices, Inc.","Technology","Semiconductors","190830952448","196100390912","57.445747","26.505112","0.85","5.6555943","14.978655","15.392","31.889","1.12","4.4","0.6057","1.66","1780358400","12740193280","0.372","0.64491","0.38076","0.26007998","6149394944","0.09639","0.054899998","25.81","3439308032","8708730880","3868954624","5106470912","1.752","1.105","391.78","386.91","445.91","218.37","408.0196","315.41385","1.183","4429900","487087040","485265334","1.0"
