"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"MMM","3M Company","Industrials","Conglomerates","84718166016","92075171840","31.236538","17.14536","1.74","25.963873","3.3854766","3.679","14.756","1.92","3.12","0.5723","3.88","1779408000","25024000000","0.013","0.39714","0.23316999","0.11137","6240000000","0.71458","0.08118","396.497","5818999808","13127999488","2322374912","2959000064","1.594","-0.397","162.43","164.01","177.41","139.34","151.9992","157.96014","1.095","3847288","521567261","520680597","1.0"
"AOS","A. O. Smith Corporation","Industrials","Specialty Industrial Machinery","8501269504","8954269696","16.448","14.762868","1.62","4.5269723","2.2301922","2.349","11.259","2.3","1.42","0.37330002","1.77","1777507200","3811899904","-0.019","0.38764998","0.17111","0.13841","795299968","0.28267","0.12775","34.981","203900000","656899968","495612512","707500032","1.558","-0.105","61.68","61.72","81.87","54.16","59.5202","67.1771","1.175","1719630","111965465","109781877","1.0"
"ABT","Abbott Laboratories","Healthcare","Medical Devices","161483489280","188964438016","25.969189","15.302694","1.4","3.10181","3.577868","4.187","16.09","2.72","2.52","0.67230004","1.82","1784073600","45134000128","0.078","0.56503","0.13472","0.13904999","11744000000","0.123339996","0.0559","64.773","7295000064","34136000512","6341125120","9464000512","1.388","-0.197","92.71","94.12","137.49","81.97","89.0706","112.424","0.62","13041725","1741813154","1731152537","1.0"
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General","449313079296","512878084096","125.27586","15.637413","0.41","-67.50996","7.152503","8.164","17.145","2.72","6.92","3.2598002","3.6","1784073600","62819000320","0.124","0.72026","0.32156","0.05786","29915000832","","0.10032","","9390999552","72912003072","20811624448","21223999488","0.796","-0.462","254.31","253.35","255.99","181.75","215.6892","221.4734","0.309","7075982","1766792821","1763647930","0.9523809523809523"
"ACN","Accenture plc","Technology","Information Technology Services","76333654016","76168011776","9.963258","8.501347","0.94","2.3932772","1.0442276","1.042","5.885","5.23","6.52","0.5088","1.64","1783555200","73100591104","0.056","0.32013","0.16964","0.10656","12943767552","0.24406","0.10903","25.035","10171567104","8388769792","12089380864","13182094336","1.339","0.09","124.74","128.98","307.77","118.15","170.2946","222.3463","1.069","7332974","611942109","610785538","1.0"
"ADBE","Adobe Inc.","Technology","Software - Application","82055921664","83506921472","11.809497","7.4958844","0.55","7.1510715","3.256446","3.314","8.583","","","0.0","0.12","1111622400","25198000128","0.127","0.89404","0.35327998","0.28689","9729000448","0.62953997","0.19926001","61.443","5625999872","7077000192","9218374656","10481000448","0.751","0.079","206.43","202.73","392.58","190.12","237.0122","290.73294","1.404","6212476","397500000","396243900","0.9523809523809523"
"AMD","Advanced Micro Devices, Inc.","Technology","Semiconductors","879692677120","871216709632","178.63907","40.969307","1.25","13.641742","23.487282","23.261","117.257","","","0.0","","798940800","37454000128","0.378","0.5306","0.14396","0.13374","7430000128","0.08063","0.03647","6.005","12346999808","3871000064","7173374976","9724999680","2.725","0.912","539.49","521.58","562.99","133.5","444.3452","272.3654","2.492","37405750","1630600639","1622023680","0.9285714285714286"
"AES","The AES Corporation","Utilities","Utilities - Diversified","10433497088","48417497088","7.619792","6.1482472","0.81","2.3604388","0.83554876","3.877","12.894","4.81","0.7","0.3666","3.83","1777593600","12487000064","0.087","0.19299999","0.18742001","0.10819","3755000064","0.052600004","0.027139999","259.603","1651000064","31804000256","-2964999936","4961999872","0.73","9.511","14.63","14.67","17.65","10.02","14.5602","14.393","0.946","9644320","713157713","708679083","1.0"
"AFL","Aflac Incorporated","Financial Services","Insurance - Life","61118906368","67312906240","13.723429","15.814609","1.18","2.0461438","3.374498","3.716","11.448","2.03","2.44","0.26860002","2.17","1779235200","18112000000","0.279","0.50049996","0.29567","0.25596002","5880000000","0.16469","0.03088","48.276","8270000128","14464000000","4923125248","2934000128","0.935","38.6","120.08","120.15","120.29","96.95","115.8378","111.7945","0.61","2483998","508984904","504648353","1.0"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","37515436032","39250436096","26.672691","20.0882","1.34","5.2635126","5.187422","5.427","19.479","0.77","1.02","0.202","0.68","1782777600","7232000000","0.1","0.52641","0.23706","0.19552","2015000064","0.21330999","0.08613","49.733","1807000064","3542000128","930625024","1452000000","2.099","0.6","132.83","136.01","160.27","108.35","122.7974","130.5801","1.256","2262087","282431944","281471675","1.0"
"APD","Air Products and Chemicals, Inc.","Basic Materials","Specialty Chemicals","60424404992","80412303360","28.563158","19.0613","2.06","3.8609848","4.8479533","6.452","20.738","2.67","7.24","0.7566","2.43","1782864000","12463899648","0.088","0.31983998","0.23595","0.16906999","3877600000","0.12353","0.03599","101.611","954200000","18442199040","-3519237376","4121400064","1.427","","271.35","277.79","307.96","229.11","289.7728","273.6405","0.747","1215312","222680686","222326624","0.9761904761904762"
"ABNB","Airbnb, Inc.","Consumer Cyclical","Travel Services","87346110464","77875118080","36.33827","24.249983","1.35","11.467196","6.906469","6.158","29.735","","","0.0","","","12647000064","0.179","0.82913","0.03211","0.19902","2619000064","0.32325","0.06245","33.185","12005000192","2534000128","3191000064","4565000192","1.442","0.06","147.17","145.56","150.19","110.81","137.6592","129.71162","1.159","3787571","417930233","402550649","0.9047619047619048"
